Date,In US dollars,,,,
"December 12, 1980",1.988e8,,,,
"January 15, 1981",2.161e8,,,,
"February 17, 1981",1.806e8,,,,
"March 19, 1981",1.763e8,,,,
"April 20, 1981",1.78e8,,,,
"May 20, 1981",1.962e8,,,,
"June 22, 1981",2.0139999999999997e8,,,,
"July 23, 1981",1.607e8,,,,
"August 24, 1981",1.305e8,,,,
"September 24, 1981",1.1319999999999999e8,,,,
"October 26, 1981",1.0509999999999999e9,,,,
"November 25, 1981",1.016e9,,,,
"December 29, 1981",1.175e9,,,,
"January 29, 1982",1.127e9,,,,
"March 03, 1982",1.016e9,,,,
"April 02, 1982",9.818e8,,,,
"May 04, 1982",8.711e8,,,,
"June 04, 1982",7.26e8,,,,
"July 07, 1982",6.361e8,,,,
"August 06, 1982",6.776e8,,,,
"September 08, 1982",9.956e8,,,,
"October 08, 1982",1.342e9,,,,
"November 09, 1982",1.707e9,,,,
"December 10, 1982",1.671e9,,,,
"January 12, 1983",1.757e9,,,,
"February 11, 1983",2.656e9,,,,
"March 16, 1983",2.399e9,,,,
"April 15, 1983",2.613e9,,,,
"May 17, 1983",2.963e9,,,,
"June 17, 1983",3.206e9,,,,
"July 20, 1983",2.356e9,,,,
"August 19, 1983",1.928e9,,,,
"September 21, 1983",1.799e9,,,,
"October 21, 1983",1.177e9,,,,
"November 22, 1983",1.273e9,,,,
"December 23, 1983",1.458e9,,,,
"January 26, 1984",1.635e9,,,,
"February 28, 1984",1.51e9,,,,
"March 29, 1984",1.502e9,,,,
"April 30, 1984",1.899e9,,,,
"May 31, 1984",1.778e9,,,,
"July 02, 1984",1.537e9,,,,
"August 02, 1984",1.447e9,,,,
"September 04, 1984",1.574e9,,,,
"October 04, 1984",1.536e9,,,,
"November 05, 1984",1.498e9,,,,
"December 06, 1984",1.657e9,,,,
"January 09, 1985",1.746e9,,,,
"February 08, 1985",1.814e9,,,,
"March 13, 1985",1.321e9,,,,
"April 12, 1985",1.284e9,,,,
"May 14, 1985",1.215e9,,,,
"June 14, 1985",9.074e8,,,,
"July 17, 1985",1.084e9,,,,
"August 16, 1985",8.997e8,,,,
"September 18, 1985",9.997e8,,,,
"October 18, 1985",1.098e9,,,,
"November 19, 1985",1.191e9,,,,
"December 20, 1985",1.384e9,,,,
"January 23, 1986",1.421e9,,,,
"February 25, 1986",1.629e9,,,,
"March 27, 1986",1.745e9,,,,
"April 29, 1986",1.958e9,,,,
"May 30, 1986",2.318e9,,,,
"July 01, 1986",2.252e9,,,,
"August 01, 1986",1.997e9,,,,
"September 03, 1986",3.026e8,,,,
"October 03, 1986",2.1139999999999998e9,,,,
"November 04, 1986",2.239e9,,,,
"December 05, 1986",2.74e9,,,,
"January 08, 1987",2.849e9,,,,
"February 09, 1987",3.35e9,,,,
"March 12, 1987",4.154e9,,,,
"April 13, 1987",4.2270000000000005e9,,,,
"May 14, 1987",4.963e9,,,,
"June 16, 1987",5.198e9,,,,
"July 17, 1987",5.417e9,,,,
"August 18, 1987",6.106e9,,,,
"September 18, 1987",6.482e9,,,,
"October 20, 1987",4.35e9,,,,
"November 19, 1987",4.35e9,,,,
"December 22, 1987",5.233e9,,,,
"January 25, 1988",5.132e9,,,,
"February 25, 1988",5.242e9,,,,
"March 28, 1988",5.211e9,,,,
"April 28, 1988",5.152e9,,,,
"May 31, 1988",5.168e9,,,,
"June 30, 1988",6.038e9,,,,
"August 02, 1988",5.826e9,,,,
"September 01, 1988",5.076e9,,,,
"October 04, 1988",5.095e9,,,,
"November 03, 1988",4.558e9,,,,
"December 06, 1988",4.849e9,,,,
"January 09, 1989",5.485e9,,,,
"February 08, 1989",4.879e9,,,,
"March 13, 1989",4.464e9,,,,
"April 13, 1989",4.918e9,,,,
"May 15, 1989",5.876e9,,,,
"June 15, 1989",6.068e9,,,,
"July 18, 1989",4.868e9,,,,
"August 17, 1989",5.085e9,,,,
"September 19, 1989",5.364e9,,,,
"October 19, 1989",6.156e9,,,,
"November 20, 1989",5.714e9,,,,
"December 21, 1989",4.577e9,,,,
"January 24, 1990",4.2569999999999995e9,,,,
"February 26, 1990",4.2569999999999995e9,,,,
"March 28, 1990",5.165e9,,,,
"April 30, 1990",4.795e9,,,,
"May 31, 1990",5.024e9,,,,
"July 02, 1990",5.265e9,,,,
"August 02, 1990",5.206e9,,,,
"September 04, 1990",4.428e9,,,,
"October 04, 1990",3.23e9,,,,
"November 05, 1990",3.836e9,,,,
"December 06, 1990",4.759e9,,,,
"January 09, 1991",5.173e9,,,,
"February 08, 1991",6.859e9,,,,
"March 13, 1991",7.573e9,,,,
"April 15, 1991",7.405e9,,,,
"May 15, 1991",6.007e9,,,,
"June 17, 1991",4.996e9,,,,
"July 18, 1991",5.272e9,,,,
"August 19, 1991",5.933e9,,,,
"September 19, 1991",5.845e9,,,,
"October 21, 1991",6.482e9,,,,
"November 20, 1991",5.978e9,,,,
"December 23, 1991",6.097e9,,,,
"January 24, 1992",7.657e9,,,,
"February 26, 1992",8.279999999999999e9,,,,
"March 27, 1992",7.228e9,,,,
"April 29, 1992",6.821e9,,,,
"June 01, 1992",6.881e9,,,,
"July 01, 1992",5.893e9,,,,
"August 03, 1992",5.502e9,,,,
"September 02, 1992",5.833e9,,,,
"October 05, 1992",5.154e9,,,,
"November 04, 1992",6.22e9,,,,
"December 07, 1992",6.842e9,,,,
"January 08, 1993",7.336e9,,,,
"February 09, 1993",6.702e9,,,,
"March 12, 1993",6.629e9,,,,
"April 14, 1993",5.684e9,,,,
"May 14, 1993",6.471e9,,,,
"June 16, 1993",4.926e9,,,,
"July 19, 1993",2.963e9,,,,
"August 18, 1993",3.295e9,,,,
"September 20, 1993",2.876e9,,,,
"October 20, 1993",3.223e9,,,,
"November 19, 1993",3.833e9,,,,
"December 22, 1993",3.252e9,,,,
"January 24, 1994",4.077e9,,,,
"February 24, 1994",4.2670000000000005e9,,,,
"March 28, 1994",3.873e9,,,,
"April 29, 1994",3.544e9,,,,
"June 01, 1994",3.337e9,,,,
"July 01, 1994",3.047e9,,,,
