target,source
6,1,
7,2,
8,2,
9,2,
10,2,
11,2,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,1,
19,1,
20,1,
21,1,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,1,
31,1,
32,2,
33,1,
34,1,
35,1,
36,1,
37,1,
38,1,
39,2,
40,1,
41,1,
42,1,
43,3,
44,3,
45,3,
46,1,
47,3,
48,3,
49,1,
50,1,
51,3,
52,2,
53,1,
54,1,
55,1,
56,3,
57,1,
58,3,
59,3,
60,1,
61,3,
62,1,
63,1,
64,1,
65,1,
66,1,
67,1,
68,1,
69,3,
70,1,
71,2,
72,3,
73,3,
74,3,
75,2,
76,1,
77,2,
78,1,
79,2,
80,1,
81,1,
82,1,
83,1,
84,1,
85,1,
86,2,
87,4,
88,1,
89,1,
90,1,
91,2,
92,1,
93,1,
94,1,
95,2,
96,4,
97,3,
98,2,
99,2,
100,2,
101,1,
102,2,
103,2,
104,2,
105,2,
106,1,
107,1,
108,1,
109,1,
110,1,
111,4,
112,1,
113,1,
114,4,
115,4,
116,1,
117,1,
118,1,
119,4,
120,4,
121,4,
122,1,
123,1,
124,4,
125,4,
126,1,
127,3,
128,4,
129,4,
130,4,
131,1,
132,3,
133,2,
134,1,
135,4,
136,2,
137,3,
138,1,
139,3,
140,1,
141,4,
142,1,
143,1,
144,4,
145,3,
146,4,
147,4,
148,1,
149,1,
150,1,
151,4,
152,1,
153,1,
154,4,
155,4,
156,4,
157,4,
158,1,
159,1,
160,1,
161,4,
162,3,
163,1,
164,1,
165,4,
166,4,
167,1,
168,4,
169,1,
170,1,
171,1,
172,1,
173,4,
174,1,
175,1,
176,1,
177,1,
178,1,
179,4,
180,1,
181,3,
182,1,
183,4,
184,1,
185,2,
186,4,
187,2,
188,4,
189,4,
190,1,
191,4,
192,1,
193,4,
194,4,
195,4,
196,1,
197,1,
198,1,
199,4,
200,3,
201,3,
202,4,
203,4,
204,4,
