Date,MarketCap,,,
1986-08-13,68560000.00,,,
1986-09-10,83950000.00,,,
1986-10-07,87700000.00,,,
1986-11-03,112700000.00,,,
1986-12-01,122100000.00,,,
1986-12-29,124000000.00,,,
1987-01-26,177900000.00,,,
1987-02-23,207900000.00,,,
1987-03-20,318500000.00,,,
1987-04-16,412700000.00,,,
1987-05-14,540100000.00,,,
1987-06-11,343400000.00,,,
1987-07-09,359000000.00,,,
1987-08-05,338200000.00,,,
1987-09-01,348000000.00,,,
1987-09-29,412900000.00,,,
1987-10-26,171400000.00,,,
1987-11-20,228500000.00,,,
1987-12-18,286900000.00,,,
1988-01-18,288200000.00,,,
1988-02-12,261700000.00,,,
1988-03-11,309400000.00,,,
1988-04-08,337000000.00,,,
1988-05-05,364700000.00,,,
1988-06-02,370100000.00,,,
1988-06-29,401600000.00,,,
1988-07-27,419300000.00,,,
1988-08-23,358700000.00,,,
1988-09-20,431000000.00,,,
1988-10-17,463900000.00,,,
1988-11-11,446200000.00,,,
1988-12-09,443700000.00,,,
1989-01-09,499800000.00,,,
1989-02-03,499800000.00,,,
1989-03-03,410700000.00,,,
1989-03-31,436100000.00,,,
1989-04-27,499400000.00,,,
1989-05-24,578000000.00,,,
1989-06-21,546300000.00,,,
1989-07-19,499900000.00,,,
1989-08-15,481900000.00,,,
1989-09-12,458100000.00,,,
1989-10-09,355200000.00,,,
1989-11-03,329400000.00,,,
1989-12-01,372000000.00,,,
1989-12-29,401800000.00,,,
1990-01-26,476100000.00,,,
1990-02-23,555500000.00,,,
1990-03-22,792600000.00,,,
1990-04-19,762500000.00,,,
1990-05-16,923100000.00,,,
1990-06-13,766900000.00,,,
1990-07-11,779600000.00,,,
1990-08-07,596200000.00,,,
1990-09-04,561400000.00,,,
1990-10-01,458400000.00,,,
1990-10-26,479000000.00,,,
1990-11-23,525300000.00,,,
1990-12-20,607500000.00,,,
1991-01-18,713500000.00,,,
1991-02-14,873800000.00,,,
1991-03-14,971300000.00,,,
1991-04-11,1255000000.00,,,
1991-05-08,1087000000.00,,,
1991-06-05,1084000000.00,,,
1991-07-02,950600000.00,,,
1991-07-30,1100000000.00,,,
1991-08-26,1121000000.00,,,
1991-09-23,1138000000.00,,,
1991-10-18,1214000000.00,,,
1991-11-14,1258000000.00,,,
1991-12-12,1147000000.00,,,
1992-01-10,1330000000.00,,,
1992-02-06,1387000000.00,,,
1992-03-05,1165000000.00,,,
1992-04-01,1104000000.00,,,
1992-04-29,926100000.00,,,
1992-05-27,992700000.00,,,
1992-06-23,1017000000.00,,,
1992-07-21,894400000.00,,,
1992-08-17,850000000.00,,,
1992-09-14,735700000.00,,,
1992-10-09,585300000.00,,,
1992-11-05,852800000.00,,,
1992-12-03,767600000.00,,,
1992-12-31,690900000.00,,,
1993-01-28,915700000.00,,,
1993-02-25,976000000.00,,,
1993-03-24,949000000.00,,,
1993-04-21,1023000000.00,,,
1993-05-18,1425000000.00,,,
1993-06-15,1597000000.00,,,
1993-07-13,1295000000.00,,,
1993-08-09,1195000000.00,,,
1993-09-03,891900000.00,,,
1993-10-01,836100000.00,,,
1993-10-28,942100000.00,,,
1993-11-24,1015000000.00,,,
1993-12-22,941600000.00,,,
1994-01-19,1209000000.00,,,
1994-02-15,1354000000.00,,,
1994-03-15,1466000000.00,,,
1994-04-12,1072000000.00,,,
1994-05-10,1083000000.00,,,
1994-06-07,1275000000.00,,,
1994-07-05,1253000000.00,,,
1994-08-01,1371000000.00,,,
1994-08-26,1428000000.00,,,
1994-09-23,1481000000.00,,,
1994-10-20,1651000000.00,,,
1994-11-16,1649000000.00,,,
1994-12-14,1998000000.00,,,
1995-01-12,1992000000.00,,,
1995-02-08,1878000000.00,,,
1995-03-08,2351000000.00,,,
1995-04-04,3087000000.00,,,
1995-05-02,3443000000.00,,,
1995-05-30,3318000000.00,,,
1995-06-26,3737000000.00,,,
1995-07-24,3912000000.00,,,
1995-08-18,3848000000.00,,,
1995-09-15,3119000000.00,,,
1995-10-12,3231000000.00,,,
1995-11-08,3861000000.00,,,
1995-12-06,5135000000.00,,,
1996-01-04,4280000000.00,,,
1996-01-31,2488000000.00,,,
1996-02-28,2470000000.00,,,
1996-03-26,2374000000.00,,,
1996-04-23,2795000000.00,,,
1996-05-20,3162000000.00,,,
1996-06-17,2485000000.00,,,
1996-07-15,2181000000.00,,,
1996-08-09,2376000000.00,,,
1996-09-06,2432000000.00,,,
1996-10-03,2577000000.00,,,
1996-10-30,2450000000.00,,,
1996-11-26,2865000000.00,,,
1996-12-24,2788000000.00,,,
1997-01-22,2724000000.00,,,
1997-02-19,2840000000.00,,,
1997-03-18,2496000000.00,,,
1997-04-15,3006000000.00,,,
1997-05-12,3140000000.00,,,
1997-06-09,3025000000.00,,,
1997-07-07,2742000000.00,,,
1997-08-01,2779000000.00,,,
1997-08-28,2940000000.00,,,
1997-09-25,3709000000.00,,,
