Date,In US dollars,,,,
"May 15, 1997",4.083e8,,,,
"June 04, 1997",2.953e8,,,,
"June 23, 1997",3.126e8,,,,
"July 11, 1997",6.569e8,,,,
"July 30, 1997",7.016e8,,,,
"August 18, 1997",5.851e8,,,,
"September 05, 1997",7.165e8,,,,
"September 24, 1997",1.254e9,,,,
"October 13, 1997",1.146e9,,,,
"October 30, 1997",1.469e9,,,,
"November 18, 1997",1.266e9,,,,
"December 08, 1997",1.35e9,,,,
"December 26, 1997",1.296e9,,,,
"January 15, 1998",1.424e9,,,,
"February 04, 1998",1.456e9,,,,
"February 24, 1998",1.554e9,,,,
"March 13, 1998",1.901e9,,,,
"April 01, 1998",2.18e9,,,,
"April 21, 1998",2.251e9,,,,
"May 08, 1998",2.234e9,,,,
"May 28, 1998",2.0790000000000002e9,,,,
"June 16, 1998",3.562e9,,,,
"July 06, 1998",6.072e9,,,,
"July 23, 1998",6.346e9,,,,
"August 11, 1998",6.165e9,,,,
"August 28, 1998",5.265e9,,,,
"September 17, 1998",3.828e9,,,,
"October 06, 1998",5.717e9,,,,
"October 23, 1998",6.129e9,,,,
"November 11, 1998",6.683e9,,,,
"December 01, 1998",1.106e10,,,,
"December 18, 1998",1.5129999999999998e10,,,,
"January 08, 1999",2.552e10,,,,
"January 28, 1999",1.957e10,,,,
"February 17, 1999",1.4890000000000002e10,,,,
"March 08, 1999",1.968e10,,,,
"March 25, 1999",2.253e10,,,,
"April 14, 1999",2.71e10,,,,
"May 03, 1999",2.436e10,,,,
"May 20, 1999",2.1110000000000004e10,,,,
"June 09, 1999",1.84e10,,,,
"June 28, 1999",1.786e10,,,,
"July 16, 1999",2.314e10,,,,
"August 04, 1999",1.4830000000000002e10,,,,
"August 23, 1999",1.991e10,,,,
"September 10, 1999",2.2360000000000004e10,,,,
"September 29, 1999",2.7160000000000004e10,,,,
"October 18, 1999",2.512e10,,,,
"November 04, 1999",2.141e10,,,,
"November 23, 1999",2.773e10,,,,
"December 13, 1999",3.477e10,,,,
"December 31, 1999",2.6269999999999996e10,,,,
"January 20, 2000",2.235e10,,,,
"February 08, 2000",2.8690000000000004e10,,,,
"February 28, 2000",2.269e10,,,,
"March 16, 2000",2.316e10,,,,
"April 04, 2000",2.238e10,,,,
"April 24, 2000",1.756e10,,,,
"May 11, 2000",1.93e10,,,,
"May 31, 2000",1.7e10,,,,
"June 19, 2000",1.594e10,,,,
"July 07, 2000",1.284e10,,,,
"July 26, 2000",1.219e10,,,,
"August 14, 2000",1.2410000000000002e10,,,,
"August 31, 2000",1.477e10,,,,
"September 20, 2000",1.334e10,,,,
"October 09, 2000",1.071e10,,,,
"October 26, 2000",1.313e10,,,,
"November 14, 2000",1.031e10,,,,
"December 04, 2000",9.461e9,,,,
"December 21, 2000",5.409e9,,,,
"January 11, 2001",6.071e9,,,,
"January 31, 2001",6.183e9,,,,
"February 20, 2001",4.464e9,,,,
"March 09, 2001",4.392e9,,,,
"March 28, 2001",3.872e9,,,,
"April 17, 2001",5.294e9,,,,
"May 04, 2001",6.307e9,,,,
"May 23, 2001",5.603e9,,,,
"June 12, 2001",5.259e9,,,,
"June 29, 2001",5.083e9,,,,
"July 19, 2001",6.094e9,,,,
"August 07, 2001",4.208e9,,,,
"August 24, 2001",3.711e9,,,,
"September 19, 2001",2.652e9,,,,
"October 08, 2001",2.647e9,,,,
"October 25, 2001",2.889e9,,,,
"November 13, 2001",2.71e9,,,,
"December 03, 2001",3.9e9,,,,
"December 20, 2001",3.773e9,,,,
"January 10, 2002",4.1210000000000005e9,,,,
"January 30, 2002",5.189e9,,,,
"February 19, 2002",4.857e9,,,,
"March 08, 2002",6.103e9,,,,
"March 27, 2002",5.319e9,,,,
"April 16, 2002",5.255e9,,,,
"May 03, 2002",6.02e9,,,,
"May 22, 2002",7.033e9,,,,
"June 11, 2002",6.429e9,,,,
"June 28, 2002",6.095e9,,,,
"July 18, 2002",5.916e9,,,,
"August 06, 2002",5.228e9,,,,
"August 23, 2002",5.737e9,,,,
"September 12, 2002",6.373e9,,,,
"October 01, 2002",6.462e9,,,,
"October 18, 2002",7.263e9,,,,
"November 06, 2002",7.378e9,,,,
"November 25, 2002",9.251e9,,,,
"December 13, 2002",8.461e9,,,,
"January 03, 2003",7.96e9,,,,
"January 23, 2003",8.452e9,,,,
"February 11, 2003",8.068e9,,,,
"March 03, 2003",8.468e9,,,,
"March 20, 2003",1.066e10,,,,
"April 08, 2003",1.039e10,,,,
"April 28, 2003",1.1399999999999998e10,,,,
"May 15, 2003",1.278e10,,,,
"June 04, 2003",1.3859999999999998e10,,,,
"June 23, 2003",1.394e10,,,,
"July 11, 2003",1.494e10,,,,
"July 30, 2003",1.6140000000000002e10,,,,
"August 18, 2003",1.708e10,,,,
"September 05, 2003",1.847e10,,,,
"September 24, 2003",1.969e10,,,,
"October 13, 2003",2.334e10,,,,
"October 30, 2003",2.239e10,,,,
"November 18, 2003",1.945e10,,,,
"December 08, 2003",2.049e10,,,,
"December 26, 2003",2.145e10,,,,
"January 15, 2004",2.266e10,,,,
"February 04, 2004",1.831e10,,,,
"February 24, 2004",1.711e10,,,,
"March 12, 2004",1.716e10,,,,
"March 31, 2004",1.752e10,,,,
"April 20, 2004",1.831e10,,,,
"May 07, 2004",1.697e10,,,,
"May 26, 2004",1.81e10,,,,
"June 16, 2004",2.048e10,,,,
"July 06, 2004",2.084e10,,,,
"July 23, 2004",1.627e10,,,,
"August 11, 2004",1.4870000000000002e10,,,,
"August 30, 2004",1.559e10,,,,
"September 17, 2004",1.748e10,,,,
"October 06, 2004",1.685e10,,,,
"October 25, 2004",1.3859999999999998e10,,,,
