Date,MarketCap,,,
1980-12-12,198800000.00,,,
1981-01-15,216100000.00,,,
1981-02-17,180600000.00,,,
1981-03-19,176300000.00,,,
1981-04-20,178000000.00,,,
1981-05-20,196200000.00,,,
1981-06-22,201400000.00,,,
1981-07-23,160700000.00,,,
1981-08-24,130500000.00,,,
1981-09-24,113200000.00,,,
1981-10-26,1051000000.00,,,
1981-11-25,1016000000.00,,,
1981-12-29,1175000000.00,,,
1982-01-29,1127000000.00,,,
1982-03-03,1016000000.00,,,
1982-04-02,981800000.00,,,
1982-05-04,871100000.00,,,
1982-06-04,726000000.00,,,
1982-07-07,636100000.00,,,
1982-08-06,677600000.00,,,
1982-09-08,995600000.00,,,
1982-10-08,1342000000.00,,,
1982-11-09,1707000000.00,,,
1982-12-10,1671000000.00,,,
1983-01-12,1757000000.00,,,
1983-02-11,2656000000.00,,,
1983-03-16,2399000000.00,,,
1983-04-15,2613000000.00,,,
1983-05-17,2963000000.00,,,
1983-06-17,3206000000.00,,,
1983-07-20,2356000000.00,,,
1983-08-19,1928000000.00,,,
1983-09-21,1799000000.00,,,
1983-10-21,1177000000.00,,,
1983-11-22,1273000000.00,,,
1983-12-23,1458000000.00,,,
1984-01-26,1635000000.00,,,
1984-02-28,1510000000.00,,,
1984-03-29,1502000000.00,,,
1984-04-30,1899000000.00,,,
1984-05-31,1778000000.00,,,
1984-07-02,1537000000.00,,,
1984-08-02,1447000000.00,,,
1984-09-04,1574000000.00,,,
1984-10-04,1536000000.00,,,
1984-11-05,1498000000.00,,,
1984-12-06,1657000000.00,,,
1985-01-09,1746000000.00,,,
1985-02-08,1814000000.00,,,
1985-03-13,1321000000.00,,,
1985-04-12,1284000000.00,,,
1985-05-14,1215000000.00,,,
1985-06-14,907400000.00,,,
1985-07-17,1084000000.00,,,
1985-08-16,899700000.00,,,
1985-09-18,999700000.00,,,
1985-10-18,1098000000.00,,,
1985-11-19,1191000000.00,,,
1985-12-20,1384000000.00,,,
1986-01-23,1421000000.00,,,
1986-02-25,1629000000.00,,,
1986-03-27,1745000000.00,,,
1986-04-29,1958000000.00,,,
1986-05-30,2318000000.00,,,
1986-07-01,2252000000.00,,,
1986-08-01,1997000000.00,,,
1986-09-03,302600000.00,,,
1986-10-03,2114000000.00,,,
1986-11-04,2239000000.00,,,
1986-12-05,2740000000.00,,,
1987-01-08,2849000000.00,,,
1987-02-09,3350000000.00,,,
1987-03-12,4154000000.00,,,
1987-04-13,4227000000.00,,,
1987-05-14,4963000000.00,,,
1987-06-16,5198000000.00,,,
1987-07-17,5417000000.00,,,
1987-08-18,6106000000.00,,,
1987-09-18,6482000000.00,,,
1987-10-20,4350000000.00,,,
1987-11-19,4350000000.00,,,
1987-12-22,5233000000.00,,,
1988-01-25,5132000000.00,,,
1988-02-25,5242000000.00,,,
1988-03-28,5211000000.00,,,
1988-04-28,5152000000.00,,,
1988-05-31,5168000000.00,,,
1988-06-30,6038000000.00,,,
1988-08-02,5826000000.00,,,
1988-09-01,5076000000.00,,,
1988-10-04,5095000000.00,,,
1988-11-03,4558000000.00,,,
1988-12-06,4849000000.00,,,
1989-01-09,5485000000.00,,,
1989-02-08,4879000000.00,,,
1989-03-13,4464000000.00,,,
1989-04-13,4918000000.00,,,
1989-05-15,5876000000.00,,,
1989-06-15,6068000000.00,,,
1989-07-18,4868000000.00,,,
1989-08-17,5085000000.00,,,
1989-09-19,5364000000.00,,,
1989-10-19,6156000000.00,,,
1989-11-20,5714000000.00,,,
1989-12-21,4577000000.00,,,
1990-01-24,4257000000.00,,,
1990-02-26,4257000000.00,,,
1990-03-28,5165000000.00,,,
1990-04-30,4795000000.00,,,
1990-05-31,5024000000.00,,,
1990-07-02,5265000000.00,,,
1990-08-02,5206000000.00,,,
1990-09-04,4428000000.00,,,
1990-10-04,3230000000.00,,,
1990-11-05,3836000000.00,,,
