Date,MarketCap,,,
1997-05-15,408300000.00,,,
1997-06-04,295300000.00,,,
1997-06-23,312600000.00,,,
1997-07-11,656900000.00,,,
1997-07-30,701600000.00,,,
1997-08-18,585100000.00,,,
1997-09-05,716500000.00,,,
1997-09-24,1254000000.00,,,
1997-10-13,1146000000.00,,,
1997-10-30,1469000000.00,,,
1997-11-18,1266000000.00,,,
1997-12-08,1350000000.00,,,
1997-12-26,1296000000.00,,,
1998-01-15,1424000000.00,,,
1998-02-04,1456000000.00,,,
1998-02-24,1554000000.00,,,
1998-03-13,1901000000.00,,,
1998-04-01,2180000000.00,,,
1998-04-21,2251000000.00,,,
1998-05-08,2234000000.00,,,
1998-05-28,2079000000.00,,,
1998-06-16,3562000000.00,,,
1998-07-06,6072000000.00,,,
1998-07-23,6346000000.00,,,
1998-08-11,6165000000.00,,,
1998-08-28,5265000000.00,,,
1998-09-17,3828000000.00,,,
1998-10-06,5717000000.00,,,
1998-10-23,6129000000.00,,,
1998-11-11,6683000000.00,,,
1998-12-01,11060000000.00,,,
1998-12-18,15130000000.00,,,
1999-01-08,25520000000.00,,,
1999-01-28,19570000000.00,,,
1999-02-17,14890000000.00,,,
1999-03-08,19680000000.00,,,
1999-03-25,22530000000.00,,,
1999-04-14,27100000000.00,,,
1999-05-03,24360000000.00,,,
1999-05-20,21110000000.00,,,
1999-06-09,18400000000.00,,,
1999-06-28,17860000000.00,,,
1999-07-16,23140000000.00,,,
1999-08-04,14830000000.00,,,
1999-08-23,19910000000.00,,,
1999-09-10,22360000000.00,,,
1999-09-29,27160000000.00,,,
1999-10-18,25120000000.00,,,
1999-11-04,21410000000.00,,,
1999-11-23,27730000000.00,,,
1999-12-13,34770000000.00,,,
1999-12-31,26270000000.00,,,
2000-01-20,22350000000.00,,,
2000-02-08,28690000000.00,,,
2000-02-28,22690000000.00,,,
2000-03-16,23160000000.00,,,
2000-04-04,22380000000.00,,,
2000-04-24,17560000000.00,,,
2000-05-11,19300000000.00,,,
2000-05-31,17000000000.00,,,
2000-06-19,15940000000.00,,,
2000-07-07,12840000000.00,,,
2000-07-26,12190000000.00,,,
2000-08-14,12410000000.00,,,
2000-08-31,14770000000.00,,,
2000-09-20,13340000000.00,,,
2000-10-09,10710000000.00,,,
2000-10-26,13130000000.00,,,
2000-11-14,10310000000.00,,,
2000-12-04,9461000000.00,,,
2000-12-21,5409000000.00,,,
2001-01-11,6071000000.00,,,
2001-01-31,6183000000.00,,,
2001-02-20,4464000000.00,,,
2001-03-09,4392000000.00,,,
2001-03-28,3872000000.00,,,
2001-04-17,5294000000.00,,,
2001-05-04,6307000000.00,,,
2001-05-23,5603000000.00,,,
2001-06-12,5259000000.00,,,
2001-06-29,5083000000.00,,,
2001-07-19,6094000000.00,,,
2001-08-07,4208000000.00,,,
2001-08-24,3711000000.00,,,
2001-09-19,2652000000.00,,,
2001-10-08,2647000000.00,,,
2001-10-25,2889000000.00,,,
2001-11-13,2710000000.00,,,
2001-12-03,3900000000.00,,,
2001-12-20,3773000000.00,,,
2002-01-10,4121000000.00,,,
2002-01-30,5189000000.00,,,
2002-02-19,4857000000.00,,,
2002-03-08,6103000000.00,,,
2002-03-27,5319000000.00,,,
2002-04-16,5255000000.00,,,
2002-05-03,6020000000.00,,,
2002-05-22,7033000000.00,,,
2002-06-11,6429000000.00,,,
2002-06-28,6095000000.00,,,
2002-07-18,5916000000.00,,,
2002-08-06,5228000000.00,,,
2002-08-23,5737000000.00,,,
2002-09-12,6373000000.00,,,
2002-10-01,6462000000.00,,,
2002-10-18,7263000000.00,,,
2002-11-06,7378000000.00,,,
2002-11-25,9251000000.00,,,
2002-12-13,8461000000.00,,,
2003-01-03,7960000000.00,,,
2003-01-23,8452000000.00,,,
2003-02-11,8068000000.00,,,
2003-03-03,8468000000.00,,,
2003-03-20,10660000000.00,,,
2003-04-08,10390000000.00,,,
2003-04-28,11400000000.00,,,
2003-05-15,12780000000.00,,,
2003-06-04,13860000000.00,,,
2003-06-23,13940000000.00,,,
2003-07-11,14940000000.00,,,
2003-07-30,16140000000.00,,,
2003-08-18,17080000000.00,,,
2003-09-05,18470000000.00,,,
2003-09-24,19690000000.00,,,
2003-10-13,23340000000.00,,,
2003-10-30,22390000000.00,,,
2003-11-18,19450000000.00,,,
2003-12-08,20490000000.00,,,
2003-12-26,21450000000.00,,,
2004-01-15,22660000000.00,,,
2004-02-04,18310000000.00,,,
2004-02-24,17110000000.00,,,
2004-03-12,17160000000.00,,,
2004-03-31,17520000000.00,,,
2004-04-20,18310000000.00,,,
2004-05-07,16970000000.00,,,
2004-05-26,18100000000.00,,,
2004-06-16,20480000000.00,,,
2004-07-06,20840000000.00,,,
2004-07-23,16270000000.00,,,
2004-08-11,14870000000.00,,,
2004-08-30,15590000000.00,,,
2004-09-17,17480000000.00,,,
2004-10-06,16850000000.00,,,
2004-10-25,13860000000.00,,,
2004-11-11,15840000000.00,,,
2004-12-01,16310000000.00,,,
2004-12-20,15890000000.00,,,
2005-01-07,17340000000.00,,,
2005-01-27,17330000000.00,,,
2005-02-15,14810000000.00,,,
2005-03-07,14910000000.00,,,
2005-03-24,13500000000.00,,,
2005-04-13,14100000000.00,,,
2005-05-02,13600000000.00,,,
2005-05-19,14620000000.00,,,
2005-06-08,14310000000.00,,,
2005-06-27,14180000000.00,,,
2005-07-15,15310000000.00,,,
2005-08-03,18990000000.00,,,
2005-08-22,18030000000.00,,,
2005-09-09,17690000000.00,,,
2005-09-28,17860000000.00,,,
2005-10-17,18640000000.00,,,
2005-11-03,17230000000.00,,,
2005-11-22,20250000000.00,,,
2005-12-12,20430000000.00,,,
2005-12-30,19540000000.00,,,
2006-01-20,18270000000.00,,,
2006-02-08,15880000000.00,,,
2006-02-28,15610000000.00,,,
2006-03-17,15010000000.00,,,
2006-04-05,15570000000.00,,,
2006-04-25,14860000000.00,,,
2006-05-12,13680000000.00,,,
2006-06-01,14650000000.00,,,
2006-06-20,14830000000.00,,,
2006-07-10,15000000000.00,,,
2006-07-27,11130000000.00,,,
2006-08-15,11630000000.00,,,
2006-09-01,13310000000.00,,,
2006-09-21,12660000000.00,,,
2006-10-10,13410000000.00,,,
2006-10-27,15750000000.00,,,
2006-11-15,17550000000.00,,,
2006-12-05,16060000000.00,,,
2006-12-22,16580000000.00,,,
2007-01-16,16010000000.00,,,
2007-02-02,15480000000.00,,,
2007-02-22,17000000000.00,,,
2007-03-13,15680000000.00,,,
2007-03-30,16500000000.00,,,
2007-04-19,18290000000.00,,,
2007-05-08,25330000000.00,,,
2007-05-25,28080000000.00,,,
2007-06-14,29470000000.00,,,
2007-07-03,28710000000.00,,,
2007-07-23,29660000000.00,,,
2007-08-09,30640000000.00,,,
2007-08-28,31510000000.00,,,
2007-09-17,35930000000.00,,,
2007-10-04,38300000000.00,,,
2007-10-23,41860000000.00,,,
2007-11-09,32750000000.00,,,
2007-11-29,37010000000.00,,,
2007-12-18,36070000000.00,,,
2008-01-08,36560000000.00,,,
2008-01-28,31540000000.00,,,
2008-02-14,31590000000.00,,,
2008-03-05,27090000000.00,,,
2008-03-25,31330000000.00,,,
2008-04-11,30020000000.00,,,
2008-04-30,32840000000.00,,,
2008-05-19,34370000000.00,,,
2008-06-06,33680000000.00,,,
2008-06-25,33630000000.00,,,
2008-07-15,28550000000.00,,,
2008-08-01,32260000000.00,,,
2008-08-20,34980000000.00,,,
2008-09-09,33660000000.00,,,
2008-09-26,30110000000.00,,,
2008-10-15,21000000000.00,,,
2008-11-03,23920000000.00,,,
2008-11-20,15020000000.00,,,
2008-12-10,21310000000.00,,,
2008-12-30,21770000000.00,,,
2009-01-20,20730000000.00,,,
2009-02-06,28520000000.00,,,
2009-02-26,26720000000.00,,,
2009-03-17,30580000000.00,,,
2009-04-03,33530000000.00,,,
2009-04-23,34630000000.00,,,
2009-05-12,33480000000.00,,,
2009-06-01,35680000000.00,,,
2009-06-18,35060000000.00,,,
2009-07-08,33420000000.00,,,
2009-07-27,36380000000.00,,,
2009-08-13,36530000000.00,,,
2009-09-01,34180000000.00,,,
2009-09-21,39100000000.00,,,
2009-10-08,41230000000.00,,,
2009-10-27,52850000000.00,,,
2009-11-13,57570000000.00,,,
2009-12-03,61120000000.00,,,
2009-12-22,57910000000.00,,,
2010-01-12,56540000000.00,,,
2010-02-01,52840000000.00,,,
2010-02-19,52240000000.00,,,
2010-03-10,58110000000.00,,,
2010-03-29,60160000000.00,,,
2010-04-16,63360000000.00,,,
2010-05-05,58350000000.00,,,
2010-05-24,54430000000.00,,,
2010-06-11,54830000000.00,,,
2010-06-30,48950000000.00,,,
2010-07-20,53780000000.00,,,
2010-08-06,57460000000.00,,,
2010-08-25,56810000000.00,,,
