Date,MarketCap,,,
1979-12-31,1395000000.00,,,
1980-01-31,1407000000.00,,,
1980-03-04,1457000000.00,,,
1980-04-03,1268000000.00,,,
1980-05-05,1310000000.00,,,
1980-06-05,1395000000.00,,,
1980-07-08,1485000000.00,,,
1980-08-07,1768000000.00,,,
1980-09-09,1853000000.00,,,
1980-10-09,1996000000.00,,,
1980-11-10,1768000000.00,,,
1980-12-11,1655000000.00,,,
1981-01-14,1625000000.00,,,
1981-02-13,1645000000.00,,,
1981-03-18,1465000000.00,,,
1981-04-17,1677000000.00,,,
1981-05-19,1529000000.00,,,
1981-06-19,1497000000.00,,,
1981-07-22,1409000000.00,,,
1981-08-21,1293000000.00,,,
1981-09-23,1037000000.00,,,
1981-10-23,1057000000.00,,,
1981-11-24,1045000000.00,,,
1981-12-28,1005000000.00,,,
1982-01-28,1115000000.00,,,
1982-03-02,1160000000.00,,,
1982-04-01,1267000000.00,,,
1982-05-03,1378000000.00,,,
1982-06-03,1332000000.00,,,
1982-07-06,1324000000.00,,,
1982-08-05,1378000000.00,,,
1982-09-07,1636000000.00,,,
1982-10-07,1587000000.00,,,
1982-11-08,1673000000.00,,,
1982-12-09,1574000000.00,,,
1983-01-11,1827000000.00,,,
1983-02-10,2052000000.00,,,
1983-03-15,2086000000.00,,,
1983-04-14,2201000000.00,,,
1983-05-16,2439000000.00,,,
1983-06-16,2915000000.00,,,
1983-07-19,3356000000.00,,,
1983-08-18,3467000000.00,,,
1983-09-20,3968000000.00,,,
1983-10-20,3535000000.00,,,
1983-11-21,3786000000.00,,,
1983-12-22,3739000000.00,,,
1984-01-25,4132000000.00,,,
1984-02-27,4268000000.00,,,
1984-03-28,4075000000.00,,,
1984-04-27,3798000000.00,,,
1984-05-30,3432000000.00,,,
1984-06-29,3379000000.00,,,
1984-08-01,3538000000.00,,,
1984-08-31,4044000000.00,,,
1984-10-03,3269000000.00,,,
1984-11-02,3016000000.00,,,
1984-12-05,3185000000.00,,,
1985-01-08,3154000000.00,,,
1985-02-07,3348000000.00,,,
1985-03-12,2929000000.00,,,
1985-04-11,3103000000.00,,,
1985-05-13,3156000000.00,,,
1985-06-13,2788000000.00,,,
1985-07-16,3113000000.00,,,
1985-08-15,3044000000.00,,,
1985-09-17,2804000000.00,,,
1985-10-17,2696000000.00,,,
1985-11-18,3211000000.00,,,
1985-12-19,3324000000.00,,,
1986-01-22,3425000000.00,,,
1986-02-24,3392000000.00,,,
1986-03-26,3104000000.00,,,
1986-04-28,3566000000.00,,,
1986-05-29,3131000000.00,,,
1986-06-30,2669000000.00,,,
1986-07-31,2120000000.00,,,
1986-09-02,2523000000.00,,,
1986-10-02,2175000000.00,,,
1986-11-03,2348000000.00,,,
1986-12-04,2626000000.00,,,
1987-01-07,2736000000.00,,,
1987-02-06,4120000000.00,,,
1987-03-11,4208000000.00,,,
1987-04-10,5284000000.00,,,
1987-05-13,5267000000.00,,,
1987-06-15,4853000000.00,,,
1987-07-16,5359000000.00,,,
1987-08-17,5522000000.00,,,
1987-09-17,5904000000.00,,,
1987-10-19,4568000000.00,,,
1987-11-18,3795000000.00,,,
1987-12-21,4346000000.00,,,
1988-01-22,4104000000.00,,,
1988-02-24,4798000000.00,,,
1988-03-25,4777000000.00,,,
1988-04-27,5429000000.00,,,
1988-05-27,5050000000.00,,,
1988-06-29,6103000000.00,,,
1988-08-01,5892000000.00,,,
1988-08-31,4713000000.00,,,
1988-10-03,4675000000.00,,,
1988-11-02,4387000000.00,,,
1988-12-05,3811000000.00,,,
1989-01-06,4379000000.00,,,
1989-02-07,5010000000.00,,,
1989-03-10,4762000000.00,,,
1989-04-12,5236000000.00,,,
1989-05-12,5507000000.00,,,
1989-06-14,5462000000.00,,,
1989-07-17,5723000000.00,,,
1989-08-16,5267000000.00,,,
1989-09-18,5564000000.00,,,
1989-10-18,6226000000.00,,,
1989-11-17,6249000000.00,,,
1989-12-20,5789000000.00,,,
1990-01-23,6781000000.00,,,
1990-02-23,7104000000.00,,,
1990-03-27,7934000000.00,,,
1990-04-27,7700000000.00,,,
1990-05-30,9362000000.00,,,
1990-06-29,9191000000.00,,,
1990-08-01,8342000000.00,,,
1990-08-31,6551000000.00,,,
1990-10-03,6637000000.00,,,
1990-11-02,6987000000.00,,,
1990-12-05,7636000000.00,,,
1991-01-08,7587000000.00,,,
1991-02-07,9833000000.00,,,
1991-03-12,9034000000.00,,,
1991-04-12,10930000000.00,,,
1991-05-14,10720000000.00,,,
1991-06-14,9718000000.00,,,
1991-07-17,8968000000.00,,,
1991-08-16,9677000000.00,,,
1991-09-18,8461000000.00,,,
1991-10-18,8963000000.00,,,
1991-11-19,8505000000.00,,,
1991-12-20,8658000000.00,,,
1992-01-23,12620000000.00,,,
1992-02-25,13000000000.00,,,
1992-03-26,11980000000.00,,,
1992-04-28,10480000000.00,,,
1992-05-29,10320000000.00,,,
1992-06-30,11800000000.00,,,
1992-07-31,12370000000.00,,,
1992-09-01,12240000000.00,,,
1992-10-02,13010000000.00,,,
1992-11-03,14000000000.00,,,
1992-12-04,16390000000.00,,,
1993-01-07,20850000000.00,,,
1993-02-08,22210000000.00,,,
1993-03-11,24460000000.00,,,
1993-04-13,23730000000.00,,,
1993-05-13,20620000000.00,,,
1993-06-15,24340000000.00,,,
1993-07-16,22150000000.00,,,
1993-08-17,28500000000.00,,,
1993-09-17,28180000000.00,,,
1993-10-19,27390000000.00,,,
1993-11-18,25470000000.00,,,
1993-12-21,26180000000.00,,,
1994-01-21,27220000000.00,,,
1994-02-23,28690000000.00,,,
1994-03-25,29160000000.00,,,
1994-04-28,27270000000.00,,,
1994-05-31,27630000000.00,,,
1994-06-30,24140000000.00,,,
1994-08-02,24560000000.00,,,
1994-09-01,26520000000.00,,,
1994-10-04,24030000000.00,,,
1994-11-03,25640000000.00,,,
1994-12-06,26730000000.00,,,
1995-01-09,27260000000.00,,,
1995-02-08,31650000000.00,,,
1995-03-13,33730000000.00,,,
1995-04-12,38030000000.00,,,
1995-05-15,44930000000.00,,,
1995-06-15,47720000000.00,,,
1995-07-18,60730000000.00,,,
1995-08-17,54410000000.00,,,
1995-09-19,51970000000.00,,,
1995-10-19,56370000000.00,,,
1995-11-20,51500000000.00,,,
1995-12-21,49330000000.00,,,
1996-01-24,44950000000.00,,,
1996-02-26,49580000000.00,,,
1996-03-27,46510000000.00,,,
1996-04-29,56000000000.00,,,
1996-05-30,58780000000.00,,,
1996-07-01,61920000000.00,,,
1996-08-01,63470000000.00,,,
1996-09-03,67290000000.00,,,
1996-10-03,81660000000.00,,,
1996-11-04,90580000000.00,,,
1996-12-05,105300000000.00,,,
1997-01-08,116800000000.00,,,
1997-02-07,128400000000.00,,,
1997-03-12,116700000000.00,,,
1997-04-14,109500000000.00,,,
1997-05-14,125100000000.00,,,
1997-06-16,120600000000.00,,,
1997-07-17,143400000000.00,,,
1997-08-18,154400000000.00,,,
1997-09-18,155300000000.00,,,
1997-10-20,137500000000.00,,,
1997-11-19,129300000000.00,,,
1997-12-22,116900000000.00,,,
1998-01-26,126500000000.00,,,
1998-02-26,150300000000.00,,,
1998-03-30,126000000000.00,,,
1998-04-30,131500000000.00,,,
1998-06-02,112700000000.00,,,
1998-07-02,123100000000.00,,,
1998-08-04,137700000000.00,,,
1998-09-03,128900000000.00,,,
1998-10-06,132700000000.00,,,
1998-11-05,156700000000.00,,,
1998-12-08,200100000000.00,,,
1999-01-11,231600000000.00,,,
1999-02-11,220900000000.00,,,
1999-03-16,200100000000.00,,,
1999-04-16,190000000000.00,,,
1999-05-18,195600000000.00,,,
1999-06-18,182300000000.00,,,
1999-07-21,216900000000.00,,,
1999-08-20,264400000000.00,,,
1999-09-22,273900000000.00,,,
1999-10-22,245400000000.00,,,
1999-11-23,263900000000.00,,,
1999-12-27,284200000000.00,,,
2000-01-27,328000000000.00,,,
2000-02-29,377600000000.00,,,
2000-03-30,424400000000.00,,,
2000-05-02,405900000000.00,,,
2000-06-02,449400000000.00,,,
2000-07-05,441900000000.00,,,
2000-08-04,420000000000.00,,,
2000-09-06,441000000000.00,,,
2000-10-06,268800000000.00,,,
2000-11-07,310800000000.00,,,
2000-12-08,228800000000.00,,,
2001-01-11,224300000000.00,,,
2001-02-13,218000000000.00,,,
2001-03-16,187300000000.00,,,
2001-04-18,210200000000.00,,,
2001-05-18,193400000000.00,,,
2001-06-20,184900000000.00,,,
2001-07-23,195100000000.00,,,
2001-08-22,188100000000.00,,,
2001-09-28,137500000000.00,,,
2001-10-30,158000000000.00,,,
2001-11-30,219200000000.00,,,
2002-01-03,237600000000.00,,,
2002-02-05,226100000000.00,,,
2002-03-08,229000000000.00,,,
2002-04-10,195600000000.00,,,
2002-05-10,180600000000.00,,,
2002-06-12,144300000000.00,,,
2002-07-15,127400000000.00,,,
2002-08-14,121900000000.00,,,
2002-09-16,104600000000.00,,,
2002-10-16,89700000000.00,,,
2002-11-15,124500000000.00,,,
2002-12-18,113500000000.00,,,
2003-01-22,106800000000.00,,,
2003-02-24,108200000000.00,,,
2003-03-26,117100000000.00,,,
2003-04-28,122500000000.00,,,
