Date,MarketCap,,,
2004-06-23,1742000000.00,,,
2004-07-07,1651000000.00,,,
2004-07-20,1626000000.00,,,
2004-08-02,1318000000.00,,,
2004-08-13,986800000.00,,,
2004-08-26,1327000000.00,,,
2004-09-09,1355000000.00,,,
2004-09-22,1654000000.00,,,
2004-10-05,1739000000.00,,,
2004-10-18,1882000000.00,,,
2004-10-29,2091000000.00,,,
2004-11-11,2064000000.00,,,
2004-11-24,1856000000.00,,,
2004-12-08,1641000000.00,,,
2004-12-21,1660000000.00,,,
2005-01-04,1687000000.00,,,
2005-01-18,1552000000.00,,,
2005-01-31,1438000000.00,,,
2005-02-11,1412000000.00,,,
2005-02-25,1729000000.00,,,
2005-03-10,1634000000.00,,,
2005-03-23,1561000000.00,,,
2005-04-06,1611000000.00,,,
2005-04-19,1531000000.00,,,
2005-05-02,1517000000.00,,,
2005-05-13,1577000000.00,,,
2005-05-26,2135000000.00,,,
2005-06-09,2136000000.00,,,
2005-06-22,2115000000.00,,,
2005-07-06,2069000000.00,,,
2005-07-19,2431000000.00,,,
2005-08-01,2592000000.00,,,
2005-08-12,2532000000.00,,,
2005-08-25,2121000000.00,,,
2005-09-08,2335000000.00,,,
2005-09-21,2475000000.00,,,
2005-10-04,2561000000.00,,,
2005-10-17,2460000000.00,,,
2005-10-28,2646000000.00,,,
2005-11-10,2913000000.00,,,
2005-11-23,3403000000.00,,,
2005-12-07,3618000000.00,,,
2005-12-20,3587000000.00,,,
2006-01-04,3896000000.00,,,
2006-01-18,4240000000.00,,,
2006-01-31,4537000000.00,,,
2006-02-13,3786000000.00,,,
2006-02-27,3765000000.00,,,
2006-03-10,4192000000.00,,,
2006-03-23,4155000000.00,,,
2006-04-05,4121000000.00,,,
2006-04-19,3798000000.00,,,
2006-05-02,3903000000.00,,,
2006-05-15,3477000000.00,,,
2006-05-26,3390000000.00,,,
2006-06-09,2902000000.00,,,
2006-06-22,3081000000.00,,,
2006-07-06,2848000000.00,,,
2006-07-19,2559000000.00,,,
2006-08-01,2785000000.00,,,
2006-08-14,2998000000.00,,,
2006-08-25,3769000000.00,,,
2006-09-08,3743000000.00,,,
2006-09-21,4132000000.00,,,
2006-10-04,4170000000.00,,,
2006-10-17,4520000000.00,,,
2006-10-30,4467000000.00,,,
2006-11-10,4790000000.00,,,
2006-11-24,4672000000.00,,,
2006-12-07,4315000000.00,,,
2006-12-20,4235000000.00,,,
2007-01-05,4486000000.00,,,
2007-01-19,4723000000.00,,,
2007-02-01,5201000000.00,,,
2007-02-14,5713000000.00,,,
2007-02-28,4973000000.00,,,
2007-03-13,4848000000.00,,,
2007-03-26,4947000000.00,,,
2007-04-09,5275000000.00,,,
2007-04-20,4801000000.00,,,
2007-05-03,4941000000.00,,,
2007-05-16,5226000000.00,,,
2007-05-30,5627000000.00,,,
2007-06-12,5238000000.00,,,
2007-06-25,4874000000.00,,,
2007-07-09,5134000000.00,,,
2007-07-20,5018000000.00,,,
2007-08-02,4882000000.00,,,
2007-08-15,4999000000.00,,,
2007-08-28,4635000000.00,,,
2007-09-11,5365000000.00,,,
2007-09-24,5661000000.00,,,
2007-10-05,6217000000.00,,,
2007-10-18,6419000000.00,,,
2007-10-31,6657000000.00,,,
2007-11-13,6141000000.00,,,
2007-11-27,6198000000.00,,,
2007-12-10,6814000000.00,,,
2007-12-21,7529000000.00,,,
2008-01-07,6821000000.00,,,
2008-01-18,6122000000.00,,,
2008-02-01,6170000000.00,,,
2008-02-14,6578000000.00,,,
2008-02-28,7356000000.00,,,
2008-03-12,6944000000.00,,,
2008-03-26,7067000000.00,,,
2008-04-08,7615000000.00,,,
2008-04-21,7482000000.00,,,
2008-05-02,8083000000.00,,,
2008-05-15,8313000000.00,,,
2008-05-29,8588000000.00,,,
2008-06-11,8340000000.00,,,
2008-06-24,8510000000.00,,,
2008-07-08,8025000000.00,,,
2008-07-21,8333000000.00,,,
2008-08-01,7779000000.00,,,
2008-08-14,8134000000.00,,,
2008-08-27,6898000000.00,,,
2008-09-10,6787000000.00,,,
2008-09-23,6320000000.00,,,
2008-10-06,4888000000.00,,,
2008-10-17,3822000000.00,,,
2008-10-30,3693000000.00,,,
2008-11-12,2968000000.00,,,
2008-11-25,3168000000.00,,,
2008-12-09,4067000000.00,,,
2008-12-22,3793000000.00,,,
2009-01-06,4221000000.00,,,
2009-01-20,3181000000.00,,,
2009-02-02,3274000000.00,,,
2009-02-13,3301000000.00,,,
2009-02-27,3441000000.00,,,
2009-03-12,4161000000.00,,,
2009-03-25,4193000000.00,,,
2009-04-07,4501000000.00,,,
2009-04-21,4767000000.00,,,
2009-05-04,5388000000.00,,,
2009-05-15,4965000000.00,,,
2009-05-29,4687000000.00,,,
2009-06-11,5138000000.00,,,
2009-06-24,4846000000.00,,,
2009-07-08,4508000000.00,,,
2009-07-21,5164000000.00,,,
2009-08-03,5538000000.00,,,
2009-08-14,5843000000.00,,,
2009-08-27,6532000000.00,,,
2009-09-10,6996000000.00,,,
2009-09-23,7135000000.00,,,
2009-10-06,7263000000.00,,,
2009-10-19,7796000000.00,,,
2009-10-30,7037000000.00,,,
2009-11-12,7856000000.00,,,
2009-11-25,8130000000.00,,,
2009-12-09,7965000000.00,,,
2009-12-22,8905000000.00,,,
2010-01-06,9289000000.00,,,
2010-01-20,8562000000.00,,,
2010-02-02,8276000000.00,,,
2010-02-16,8421000000.00,,,
2010-03-01,9018000000.00,,,
2010-03-12,9630000000.00,,,
2010-03-25,9738000000.00,,,
2010-04-08,9992000000.00,,,
2010-04-21,10910000000.00,,,
2010-05-04,11140000000.00,,,
2010-05-17,10970000000.00,,,
2010-05-28,11140000000.00,,,
2010-06-11,12440000000.00,,,
2010-06-24,11720000000.00,,,
2010-07-08,11790000000.00,,,
2010-07-21,11860000000.00,,,
2010-08-03,13120000000.00,,,
2010-08-16,12550000000.00,,,
2010-08-27,14480000000.00,,,
2010-09-10,15250000000.00,,,
2010-09-23,15260000000.00,,,
2010-10-06,13630000000.00,,,
2010-10-19,13460000000.00,,,
2010-11-01,14950000000.00,,,
2010-11-12,15110000000.00,,,
2010-11-26,19160000000.00,,,
2010-12-09,19510000000.00,,,
2010-12-22,17810000000.00,,,
2011-01-05,18690000000.00,,,
2011-01-19,18510000000.00,,,
2011-02-01,17490000000.00,,,
2011-02-14,18900000000.00,,,
2011-02-28,17580000000.00,,,
2011-03-11,16990000000.00,,,
2011-03-24,17180000000.00,,,
2011-04-06,17540000000.00,,,
2011-04-19,17480000000.00,,,
2011-05-03,17900000000.00,,,
2011-05-16,17270000000.00,,,
2011-05-27,20260000000.00,,,
2011-06-10,18790000000.00,,,
2011-06-23,19350000000.00,,,
2011-07-07,21170000000.00,,,
2011-07-20,20730000000.00,,,
2011-08-02,19410000000.00,,,
2011-08-15,18610000000.00,,,
2011-08-26,15920000000.00,,,
2011-09-09,16700000000.00,,,
2011-09-22,15900000000.00,,,
2011-10-05,15890000000.00,,,
2011-10-18,17550000000.00,,,
2011-10-31,18110000000.00,,,
2011-11-11,17660000000.00,,,
2011-11-25,14270000000.00,,,
2011-12-08,16410000000.00,,,
2011-12-21,13470000000.00,,,
2012-01-05,13430000000.00,,,
2012-01-19,15570000000.00,,,
2012-02-01,16350000000.00,,,
2012-02-14,18030000000.00,,,
2012-02-28,19650000000.00,,,
2012-03-12,20160000000.00,,,
2012-03-23,21310000000.00,,,
2012-04-05,21740000000.00,,,
