Date,In US dollars,,,
1990-02-16,148900000.00,,,
1990-03-14,173900000.00,,,
1990-04-06,304300000.00,,,
1990-05-02,317800000.00,,,
1990-05-25,321300000.00,,,
1990-06-20,361300000.00,,,
1990-07-16,394700000.00,,,
1990-08-08,321300000.00,,,
1990-08-31,331300000.00,,,
1990-09-26,317800000.00,,,
1990-10-19,384700000.00,,,
1990-11-13,436400000.00,,,
1990-12-07,507200000.00,,,
1991-01-03,516400000.00,,,
1991-01-28,682200000.00,,,
1991-02-21,701000000.00,,,
1991-03-18,627100000.00,,,
1991-04-11,670200000.00,,,
1991-05-06,868100000.00,,,
1991-05-30,899000000.00,,,
1991-06-24,861300000.00,,,
1991-07-18,998900000.00,,,
1991-08-12,1147000000.00,,,
1991-09-05,1204000000.00,,,
1991-09-30,1168000000.00,,,
1991-10-23,1296000000.00,,,
1991-11-15,1490000000.00,,,
1991-12-11,1570000000.00,,,
1992-01-07,2034000000.00,,,
1992-01-30,2165000000.00,,,
1992-02-25,2307000000.00,,,
1992-03-19,2409000000.00,,,
1992-04-13,2209000000.00,,,
1992-05-07,2276000000.00,,,
1992-06-02,2811000000.00,,,
1992-06-25,2685000000.00,,,
1992-07-21,3019000000.00,,,
1992-08-13,2980000000.00,,,
1992-09-08,3025000000.00,,,
1992-10-01,3198000000.00,,,
1992-10-26,3573000000.00,,,
1992-11-18,4305000000.00,,,
1992-12-14,4305000000.00,,,
1993-01-08,4927000000.00,,,
1993-02-02,5666000000.00,,,
1993-02-26,5368000000.00,,,
1993-03-23,5108000000.00,,,
1993-04-16,5444000000.00,,,
1993-05-11,6113000000.00,,,
1993-06-04,6405000000.00,,,
1993-06-29,6835000000.00,,,
1993-07-23,6497000000.00,,,
1993-08-17,7075000000.00,,,
1993-09-10,5530000000.00,,,
1993-10-05,5917000000.00,,,
1993-10-28,6149000000.00,,,
1993-11-22,7026000000.00,,,
1993-12-16,7578000000.00,,,
1994-01-11,8570000000.00,,,
1994-02-03,9531000000.00,,,
