Date,In US dollars,,,,
"May 18, 2012",8.174e10,,,,
"May 24, 2012",7.062e10,,,,
"May 31, 2012",6.329e10,,,,
"June 06, 2012",5.739e10,,,,
"June 12, 2012",5.865e10,,,,
"June 18, 2012",6.723e10,,,,
"June 22, 2012",7.074e10,,,,
"June 28, 2012",6.713e10,,,,
"July 05, 2012",6.741e10,,,,
"July 11, 2012",6.634e10,,,,
"July 17, 2012",6.017e10,,,,
"July 23, 2012",6.158e10,,,,
"July 27, 2012",5.078e10,,,,
"August 02, 2012",4.293e10,,,,
"August 08, 2012",4.439e10,,,,
"August 14, 2012",4.366e10,,,,
"August 20, 2012",4.287e10,,,,
"August 24, 2012",4.158e10,,,,
"August 30, 2012",4.089000000000001e10,,,,
"September 06, 2012",4.062e10,,,,
"September 12, 2012",4.484e10,,,,
"September 18, 2012",4.684999999999999e10,,,,
"September 24, 2012",4.454e10,,,,
"September 28, 2012",4.64e10,,,,
"October 04, 2012",4.753999999999999e10,,,,
"October 10, 2012",4.253999999999999e10,,,,
"October 16, 2012",4.219e10,,,,
"October 22, 2012",4.186e10,,,,
"October 26, 2012",4.753999999999999e10,,,,
"November 01, 2012",4.595e10,,,,
"November 07, 2012",4.434999999999999e10,,,,
"November 13, 2012",4.303e10,,,,
"November 19, 2012",4.965e10,,,,
"November 26, 2012",5.62e10,,,,
"November 30, 2012",6.066e10,,,,
"December 06, 2012",5.843e10,,,,
"December 12, 2012",5.975e10,,,,
"December 18, 2012",6.003e10,,,,
"December 24, 2012",5.834e10,,,,
"December 31, 2012",6.314e10,,,,
"January 07, 2013",6.979e10,,,,
"January 11, 2013",7.524e10,,,,
"January 17, 2013",7.149e10,,,,
"January 24, 2013",7.372e10,,,,
"January 30, 2013",7.442e10,,,,
"February 05, 2013",6.822e10,,,,
"February 11, 2013",6.732e10,,,,
"February 15, 2013",6.746000000000001e10,,,,
"February 22, 2013",6.463e10,,,,
"February 28, 2013",6.491e10,,,,
"March 06, 2013",6.54e10,,,,
"March 12, 2013",6.628999999999999e10,,,,
"March 18, 2013",6.309999999999999e10,,,,
"March 22, 2013",6.128999999999999e10,,,,
"March 28, 2013",6.093e10,,,,
"April 04, 2013",6.527e10,,,,
"April 10, 2013",6.647e10,,,,
"April 16, 2013",6.503e10,,,,
"April 22, 2013",6.274e10,,,,
"April 26, 2013",6.486e10,,,,
"May 02, 2013",7.005e10,,,,
"May 08, 2013",6.557000000000001e10,,,,
"May 14, 2013",6.545e10,,,,
"May 20, 2013",6.228e10,,,,
"May 24, 2013",5.878999999999999e10,,,,
"May 31, 2013",5.886999999999999e10,,,,
"June 06, 2013",5.554e10,,,,
"June 12, 2013",5.747e10,,,,
"June 18, 2013",5.854e10,,,,
"June 24, 2013",5.787e10,,,,
"June 28, 2013",6.016e10,,,,
"July 05, 2013",5.924e10,,,,
"July 11, 2013",6.274e10,,,,
"July 17, 2013",6.479e10,,,,
"July 23, 2013",6.363000000000001e10,,,,
"July 29, 2013",8.628e10,,,,
"August 02, 2013",9.266e10,,,,
"August 08, 2013",9.385999999999998e10,,,,
"August 14, 2013",8.925e10,,,,
"August 20, 2013",9.353999999999998e10,,,,
"August 26, 2013",1.0069999999999998e11,,,,
"August 30, 2013",1.006e11,,,,
"September 06, 2013",1.07e11,,,,
"September 12, 2013",1.0900000000000002e11,,,,
"September 18, 2013",1.101e11,,,,
"September 24, 2013",1.18e11,,,,
"September 30, 2013",1.232e11,,,,
"October 04, 2013",1.252e11,,,,
"October 10, 2013",1.203e11,,,,
"October 16, 2013",1.254e11,,,,
"October 22, 2013",1.292e11,,,,
"October 28, 2013",1.232e11,,,,
"November 01, 2013",1.2210000000000002e11,,,,
"November 07, 2013",1.168e11,,,,
"November 13, 2013",1.196e11,,,,
"November 19, 2013",1.1379999999999998e11,,,,
"November 25, 2013",1.1000000000000002e11,,,,
"December 02, 2013",1.157e11,,,,
"December 06, 2013",1.178e11,,,,
"December 12, 2013",1.274e11,,,,
"December 18, 2013",1.3660000000000002e11,,,,
"December 24, 2013",1.425e11,,,,
"December 31, 2013",1.392e11,,,,
"January 07, 2014",1.475e11,,,,
"January 13, 2014",1.424e11,,,,
"January 17, 2014",1.434e11,,,,
"January 24, 2014",1.387e11,,,,
"January 30, 2014",1.557e11,,,,
"February 05, 2014",1.586e11,,,,
"February 11, 2014",1.654e11,,,,
"February 18, 2014",1.716e11,,,,
"February 24, 2014",1.805e11,,,,
"February 28, 2014",1.755e11,,,,
"March 06, 2014",1.816e11,,,,
"March 12, 2014",1.817e11,,,,
"March 18, 2014",1.774e11,,,,
"March 24, 2014",1.643e11,,,,
"March 28, 2014",1.539e11,,,,
"April 03, 2014",1.525e11,,,,
"April 09, 2014",1.6e11,,,,
"April 15, 2014",1.515e11,,,,
"April 22, 2014",1.618e11,,,,
"April 28, 2014",1.441e11,,,,
