Date,In US dollars,,,
2012-05-18,81740000000.00,,,
2012-05-24,70620000000.00,,,
2012-05-31,63290000000.00,,,
2012-06-06,57390000000.00,,,
2012-06-12,58650000000.00,,,
2012-06-18,67230000000.00,,,
2012-06-22,70740000000.00,,,
2012-06-28,67130000000.00,,,
2012-07-05,67410000000.00,,,
2012-07-11,66340000000.00,,,
2012-07-17,60170000000.00,,,
2012-07-23,61580000000.00,,,
2012-07-27,50780000000.00,,,
2012-08-02,42930000000.00,,,
2012-08-08,44390000000.00,,,
2012-08-14,43660000000.00,,,
2012-08-20,42870000000.00,,,
2012-08-24,41580000000.00,,,
2012-08-30,40890000000.00,,,
2012-09-06,40620000000.00,,,
2012-09-12,44840000000.00,,,
2012-09-18,46850000000.00,,,
2012-09-24,44540000000.00,,,
2012-09-28,46400000000.00,,,
2012-10-04,47540000000.00,,,
2012-10-10,42540000000.00,,,
2012-10-16,42190000000.00,,,
2012-10-22,41860000000.00,,,
2012-10-26,47540000000.00,,,
2012-11-01,45950000000.00,,,
2012-11-07,44350000000.00,,,
2012-11-13,43030000000.00,,,
2012-11-19,49650000000.00,,,
2012-11-26,56200000000.00,,,
2012-11-30,60660000000.00,,,
2012-12-06,58430000000.00,,,
2012-12-12,59750000000.00,,,
2012-12-18,60030000000.00,,,
2012-12-24,58340000000.00,,,
2012-12-31,63140000000.00,,,
2013-01-07,69790000000.00,,,
2013-01-11,75240000000.00,,,
2013-01-17,71490000000.00,,,
2013-01-24,73720000000.00,,,
2013-01-30,74420000000.00,,,
2013-02-05,68220000000.00,,,
2013-02-11,67320000000.00,,,
2013-02-15,67460000000.00,,,
2013-02-22,64630000000.00,,,
2013-02-28,64910000000.00,,,
2013-03-06,65400000000.00,,,
2013-03-12,66290000000.00,,,
2013-03-18,63100000000.00,,,
2013-03-22,61290000000.00,,,
2013-03-28,60930000000.00,,,
2013-04-04,65270000000.00,,,
2013-04-10,66470000000.00,,,
2013-04-16,65030000000.00,,,
2013-04-22,62740000000.00,,,
2013-04-26,64860000000.00,,,
2013-05-02,70050000000.00,,,
2013-05-08,65570000000.00,,,
2013-05-14,65450000000.00,,,
2013-05-20,62280000000.00,,,
2013-05-24,58790000000.00,,,
2013-05-31,58870000000.00,,,
2013-06-06,55540000000.00,,,
2013-06-12,57470000000.00,,,
2013-06-18,58540000000.00,,,
2013-06-24,57870000000.00,,,
2013-06-28,60160000000.00,,,
2013-07-05,59240000000.00,,,
2013-07-11,62740000000.00,,,
2013-07-17,64790000000.00,,,
2013-07-23,63630000000.00,,,
2013-07-29,86280000000.00,,,
2013-08-02,92660000000.00,,,
2013-08-08,93860000000.00,,,
2013-08-14,89250000000.00,,,
2013-08-20,93540000000.00,,,
2013-08-26,100700000000.00,,,
2013-08-30,100600000000.00,,,
2013-09-06,107000000000.00,,,
2013-09-12,109000000000.00,,,
2013-09-18,110100000000.00,,,
2013-09-24,118000000000.00,,,
2013-09-30,123200000000.00,,,
2013-10-04,125200000000.00,,,
2013-10-10,120300000000.00,,,
2013-10-16,125400000000.00,,,
2013-10-22,129200000000.00,,,
2013-10-28,123200000000.00,,,
2013-11-01,122100000000.00,,,
2013-11-07,116800000000.00,,,
2013-11-13,119600000000.00,,,
2013-11-19,113800000000.00,,,
2013-11-25,110000000000.00,,,
2013-12-02,115700000000.00,,,
2013-12-06,117800000000.00,,,
2013-12-12,127400000000.00,,,
2013-12-18,136600000000.00,,,
2013-12-24,142500000000.00,,,
2013-12-31,139200000000.00,,,
2014-01-07,147500000000.00,,,
2014-01-13,142400000000.00,,,
2014-01-17,143400000000.00,,,
2014-01-24,138700000000.00,,,
2014-01-30,155700000000.00,,,
2014-02-05,158600000000.00,,,
2014-02-11,165400000000.00,,,
2014-02-18,171600000000.00,,,
2014-02-24,180500000000.00,,,
2014-02-28,175500000000.00,,,
2014-03-06,181600000000.00,,,
2014-03-12,181700000000.00,,,
2014-03-18,177400000000.00,,,
2014-03-24,164300000000.00,,,
2014-03-28,153900000000.00,,,
2014-04-03,152500000000.00,,,
2014-04-09,160000000000.00,,,
2014-04-15,151500000000.00,,,
2014-04-22,161800000000.00,,,
2014-04-28,144100000000.00,,,
2014-05-02,155200000000.00,,,
2014-05-08,145700000000.00,,,
2014-05-14,152000000000.00,,,
2014-05-20,150300000000.00,,,
2014-05-27,162900000000.00,,,
2014-06-02,161900000000.00,,,
2014-06-06,160400000000.00,,,
2014-06-12,165000000000.00,,,
2014-06-18,168400000000.00,,,
2014-06-24,168700000000.00,,,
2014-06-30,173300000000.00,,,
2014-07-07,168100000000.00,,,
2014-07-11,170800000000.00,,,
2014-07-17,171000000000.00,,,
2014-07-23,185400000000.00,,,
2014-07-29,191600000000.00,,,
2014-08-04,191100000000.00,,,
2014-08-08,190000000000.00,,,
2014-08-14,193200000000.00,,,
2014-08-20,194500000000.00,,,
2014-08-26,197500000000.00,,,
2014-09-02,199400000000.00,,,
2014-09-08,202500000000.00,,,
2014-09-12,201500000000.00,,,
2014-09-18,200200000000.00,,,
2014-09-24,204200000000.00,,,
2014-09-30,206100000000.00,,,
2014-10-06,202300000000.00,,,
2014-10-10,190100000000.00,,,
2014-10-16,189400000000.00,,,
2014-10-22,204400000000.00,,,
2014-10-28,225200000000.00,,,
2014-11-03,206000000000.00,,,
2014-11-07,210800000000.00,,,
2014-11-13,207000000000.00,,,
2014-11-19,204400000000.00,,,
2014-11-25,210800000000.00,,,
2014-12-02,210400000000.00,,,
2014-12-08,213300000000.00,,,
2014-12-12,217000000000.00,,,
2014-12-18,218600000000.00,,,
2014-12-24,225200000000.00,,,
2014-12-31,216700000000.00,,,
2015-01-07,211500000000.00,,,
2015-01-13,212400000000.00,,,
2015-01-20,211800000000.00,,,
2015-01-26,215300000000.00,,,
2015-01-30,212500000000.00,,,
2015-02-05,211600000000.00,,,
2015-02-11,214200000000.00,,,
2015-02-18,214700000000.00,,,
2015-02-24,219600000000.00,,,
2015-03-02,223200000000.00,,,
2015-03-06,223900000000.00,,,
2015-03-12,220900000000.00,,,
2015-03-18,226500000000.00,,,
2015-03-24,238800000000.00,,,
2015-03-30,232900000000.00,,,
2015-04-06,231300000000.00,,,
2015-04-10,230200000000.00,,,
2015-04-16,231000000000.00,,,
2015-04-22,237700000000.00,,,
2015-04-28,226600000000.00,,,
2015-05-04,221300000000.00,,,
2015-05-08,220500000000.00,,,
2015-05-14,228500000000.00,,,
2015-05-20,226200000000.00,,,
2015-05-27,226200000000.00,,,
2015-06-02,225900000000.00,,,
2015-06-08,226500000000.00,,,
2015-06-12,229000000000.00,,,
2015-06-18,232800000000.00,,,
2015-06-24,249500000000.00,,,
2015-06-30,240100000000.00,,,
2015-07-07,244200000000.00,,,
2015-07-13,252300000000.00,,,
2015-07-17,265900000000.00,,,
2015-07-23,267200000000.00,,,
2015-07-29,273300000000.00,,,
2015-08-04,265000000000.00,,,
2015-08-10,265300000000.00,,,
2015-08-14,266000000000.00,,,
2015-08-20,255200000000.00,,,
2015-08-26,245700000000.00,,,
2015-09-01,245800000000.00,,,
2015-09-08,252300000000.00,,,
2015-09-14,260100000000.00,,,
2015-09-18,266000000000.00,,,
2015-09-24,266000000000.00,,,
2015-09-30,253000000000.00,,,
2015-10-06,261100000000.00,,,
2015-10-12,265200000000.00,,,
2015-10-16,274500000000.00,,,
2015-10-22,280500000000.00,,,
2015-10-28,293200000000.00,,,
2015-11-03,290100000000.00,,,
2015-11-09,301200000000.00,,,
2015-11-13,294000000000.00,,,
2015-11-19,300500000000.00,,,
2015-11-25,298100000000.00,,,
2015-12-02,300000000000.00,,,
2015-12-08,301200000000.00,,,
2015-12-14,296000000000.00,,,
2015-12-18,294200000000.00,,,
2015-12-24,297000000000.00,,,
2015-12-31,296600000000.00,,,
2016-01-07,277500000000.00,,,
2016-01-13,270500000000.00,,,
2016-01-20,267400000000.00,,,
2016-01-26,277100000000.00,,,
2016-02-01,327600000000.00,,,
2016-02-05,296200000000.00,,,
2016-02-11,290100000000.00,,,
2016-02-18,294500000000.00,,,
2016-02-24,304200000000.00,,,
2016-03-01,312600000000.00,,,
2016-03-07,300900000000.00,,,
2016-03-11,311400000000.00,,,
2016-03-17,316000000000.00,,,
2016-03-23,320300000000.00,,,
2016-03-30,326500000000.00,,,
2016-04-05,319800000000.00,,,
2016-04-11,310600000000.00,,,
2016-04-15,312500000000.00,,,
2016-04-21,323300000000.00,,,
2016-04-27,311500000000.00,,,
2016-05-03,335900000000.00,,,
2016-05-09,341100000000.00,,,
2016-05-13,342700000000.00,,,
2016-05-19,334100000000.00,,,
2016-05-25,337200000000.00,,,
2016-06-01,339700000000.00,,,
2016-06-07,336800000000.00,,,
2016-06-13,325900000000.00,,,
2016-06-17,323300000000.00,,,
2016-06-23,329200000000.00,,,
2016-06-29,326500000000.00,,,
2016-07-06,334000000000.00,,,
2016-07-12,337500000000.00,,,
2016-07-18,341600000000.00,,,
2016-07-22,346300000000.00,,,
2016-07-28,359000000000.00,,,
2016-08-03,351800000000.00,,,
2016-08-09,359100000000.00,,,
2016-08-15,355800000000.00,,,
2016-08-19,354800000000.00,,,
2016-08-25,355800000000.00,,,
2016-08-31,362200000000.00,,,
2016-09-07,376300000000.00,,,
2016-09-13,365300000000.00,,,
2016-09-19,369400000000.00,,,
2016-09-23,367500000000.00,,,
2016-09-29,367800000000.00,,,
2016-10-05,369600000000.00,,,
2016-10-11,370800000000.00,,,
2016-10-18,369900000000.00,,,
2016-10-24,383400000000.00,,,
2016-10-28,378400000000.00,,,
2016-11-03,345900000000.00,,,
2016-11-09,355000000000.00,,,
2016-11-15,337800000000.00,,,
2016-11-21,351000000000.00,,,
2016-11-28,347000000000.00,,,
2016-12-02,332600000000.00,,,
2016-12-08,342700000000.00,,,
2016-12-14,346500000000.00,,,
2016-12-20,343200000000.00,,,
2016-12-27,340100000000.00,,,
2017-01-03,338000000000.00,,,
2017-01-09,361200000000.00,,,
2017-01-13,371200000000.00,,,
2017-01-20,367400000000.00,,,
2017-01-27,382300000000.00,,,
2017-02-02,378100000000.00,,,
2017-02-08,387800000000.00,,,
2017-02-14,386800000000.00,,,
2017-02-21,386400000000.00,,,
2017-02-28,391700000000.00,,,
2017-03-06,397100000000.00,,,
2017-03-10,401100000000.00,,,
2017-03-16,404600000000.00,,,
2017-03-22,403400000000.00,,,
2017-03-28,409700000000.00,,,
2017-04-03,411600000000.00,,,
2017-04-07,407900000000.00,,,
2017-04-13,403900000000.00,,,
2017-04-21,416300000000.00,,,
2017-04-28,435300000000.00,,,
2017-05-04,437200000000.00,,,
2017-05-10,435600000000.00,,,
2017-05-16,434100000000.00,,,
2017-05-22,429600000000.00,,,
2017-05-26,440900000000.00,,,
2017-06-02,445200000000.00,,,
2017-06-08,448400000000.00,,,
2017-06-14,435500000000.00,,,
2017-06-20,441200000000.00,,,
2017-06-26,445100000000.00,,,
2017-06-30,437800000000.00,,,
2017-07-07,439200000000.00,,,
2017-07-13,461900000000.00,,,
2017-07-19,476000000000.00,,,
2017-07-25,480000000000.00,,,
2017-07-31,491500000000.00,,,
2017-08-07,499500000000.00,,,
2017-08-11,488100000000.00,,,
2017-08-17,484700000000.00,,,
2017-08-23,490000000000.00,,,
2017-08-29,488100000000.00,,,
2017-09-05,495800000000.00,,,
2017-09-11,503900000000.00,,,
2017-09-15,498500000000.00,,,
2017-09-21,496900000000.00,,,
2017-09-27,487000000000.00,,,
2017-10-03,493900000000.00,,,
2017-10-09,501300000000.00,,,
2017-10-13,504900000000.00,,,
2017-10-19,507300000000.00,,,
2017-10-25,495800000000.00,,,
2017-10-31,523200000000.00,,,
2017-11-06,523500000000.00,,,
2017-11-10,518600000000.00,,,
2017-11-16,521900000000.00,,,
2017-11-22,525600000000.00,,,
2017-11-29,508900000000.00,,,
2017-12-05,502200000000.00,,,
2017-12-11,520300000000.00,,,
2017-12-15,523600000000.00,,,
2017-12-21,515600000000.00,,,
