Date,In US dollars,,,,
"August 19, 2004",1.277e10,,,,
"September 01, 2004",1.276e10,,,,
"September 15, 2004",1.426e10,,,,
"September 28, 2004",1.615e10,,,,
"October 11, 2004",1.722e10,,,,
"October 22, 2004",2.195e10,,,,
"November 04, 2004",5.05e10,,,,
"November 17, 2004",4.716e10,,,,
"December 01, 2004",4.92e10,,,,
"December 14, 2004",4.886e10,,,,
"December 28, 2004",5.269999999999999e10,,,,
"January 10, 2005",5.333e10,,,,
"January 24, 2005",4.941e10,,,,
"February 04, 2005",5.588e10,,,,
"February 17, 2005",5.410999999999999e10,,,,
"March 03, 2005",5.113000000000001e10,,,,
"March 16, 2005",4.801e10,,,,
"March 30, 2005",5.005e10,,,,
"April 12, 2005",5.378999999999999e10,,,,
"April 25, 2005",6.2e10,,,,
"May 06, 2005",6.334e10,,,,
"May 19, 2005",6.644e10,,,,
"June 02, 2005",7.997e10,,,,
"June 15, 2005",7.633e10,,,,
"June 28, 2005",8.389e10,,,,
"July 12, 2005",8.105e10,,,,
"July 25, 2005",8.218e10,,,,
"August 05, 2005",8.164e10,,,,
"August 18, 2005",7.819e10,,,,
"August 31, 2005",7.986e10,,,,
"September 14, 2005",8.461e10,,,,
"September 27, 2005",8.767e10,,,,
"October 10, 2005",8.675e10,,,,
"October 21, 2005",9.492000000000002e10,,,,
"November 03, 2005",1.141e11,,,,
"November 16, 2005",1.177e11,,,,
"November 30, 2005",1.197e11,,,,
"December 13, 2005",1.234e11,,,,
"December 27, 2005",1.2549999999999998e11,,,,
"January 10, 2006",1.388e11,,,,
"January 24, 2006",1.309e11,,,,
"February 06, 2006",1.1379999999999998e11,,,,
"February 17, 2006",1.0900000000000002e11,,,,
"March 03, 2006",1.1240000000000002e11,,,,
"March 16, 2006",1.0069999999999998e11,,,,
"March 29, 2006",1.174e11,,,,
"April 11, 2006",1.218e11,,,,
"April 25, 2006",1.27e11,,,,
"May 08, 2006",1.197e11,,,,
