Date,In US dollars,,,
2004-08-19,12770000000.00,,,
2004-09-01,12760000000.00,,,
2004-09-15,14260000000.00,,,
2004-09-28,16150000000.00,,,
2004-10-11,17220000000.00,,,
2004-10-22,21950000000.00,,,
2004-11-04,50500000000.00,,,
2004-11-17,47160000000.00,,,
2004-12-01,49200000000.00,,,
2004-12-14,48860000000.00,,,
2004-12-28,52700000000.00,,,
2005-01-10,53330000000.00,,,
2005-01-24,49410000000.00,,,
2005-02-04,55880000000.00,,,
2005-02-17,54110000000.00,,,
2005-03-03,51130000000.00,,,
2005-03-16,48010000000.00,,,
2005-03-30,50050000000.00,,,
2005-04-12,53790000000.00,,,
2005-04-25,62000000000.00,,,
2005-05-06,63340000000.00,,,
2005-05-19,66440000000.00,,,
2005-06-02,79970000000.00,,,
2005-06-15,76330000000.00,,,
2005-06-28,83890000000.00,,,
2005-07-12,81050000000.00,,,
2005-07-25,82180000000.00,,,
2005-08-05,81640000000.00,,,
2005-08-18,78190000000.00,,,
2005-08-31,79860000000.00,,,
2005-09-14,84610000000.00,,,
2005-09-27,87670000000.00,,,
2005-10-10,86750000000.00,,,
2005-10-21,94920000000.00,,,
2005-11-03,114100000000.00,,,
2005-11-16,117700000000.00,,,
2005-11-30,119700000000.00,,,
2005-12-13,123400000000.00,,,
2005-12-27,125500000000.00,,,
2006-01-10,138800000000.00,,,
2006-01-24,130900000000.00,,,
2006-02-06,113800000000.00,,,
2006-02-17,109000000000.00,,,
2006-03-03,112400000000.00,,,
2006-03-16,100700000000.00,,,
2006-03-29,117400000000.00,,,
2006-04-11,121800000000.00,,,
2006-04-25,127000000000.00,,,
2006-05-08,119700000000.00,,,
2006-05-19,112100000000.00,,,
2006-06-02,115000000000.00,,,
2006-06-15,118500000000.00,,,
2006-06-28,123100000000.00,,,
2006-07-12,126500000000.00,,,
2006-07-25,118000000000.00,,,
2006-08-07,115600000000.00,,,
2006-08-18,116700000000.00,,,
2006-08-31,115200000000.00,,,
2006-09-14,123000000000.00,,,
2006-09-27,122600000000.00,,,
2006-10-10,129900000000.00,,,
2006-10-23,147500000000.00,,,
2006-11-03,144400000000.00,,,
2006-11-16,151800000000.00,,,
2006-11-30,148400000000.00,,,
2006-12-13,146600000000.00,,,
2006-12-27,143300000000.00,,,
2007-01-11,153000000000.00,,,
