Date,In US dollars,,,,
13-Mar-86,6.93E+08,,,,
10-Apr-86,6.98E+08,,,,
7-May-86,7.84E+08,,,,
4-Jun-86,8.34E+08,,,,
1-Jul-86,7.84E+08,,,,
29-Jul-86,7.59E+08,,,,
25-Aug-86,7.53E+08,,,,
22-Sep-86,7.53E+08,,,,
17-Oct-86,9.18E+08,,,,
13-Nov-86,1.08E+09,,,,
11-Dec-86,1.25E+09,,,,
9-Jan-87,1.48E+09,,,,
5-Feb-87,1.82E+09,,,,
5-Mar-87,2.13E+09,,,,
1-Apr-87,2.32E+09,,,,
29-Apr-87,2.63E+09,,,,
27-May-87,2.79E+09,,,,
23-Jun-87,2.62E+09,,,,
21-Jul-87,2.61E+09,,,,
17-Aug-87,2.75E+09,,,,
14-Sep-87,3.14E+09,,,,
9-Oct-87,3.78E+09,,,,
5-Nov-87,2.66E+09,,,,
3-Dec-87,2.13E+09,,,,
31-Dec-87,2.86E+09,,,,
28-Jan-88,2.98E+09,,,,
25-Feb-88,3.06E+09,,,,
23-Mar-88,3.11E+09,,,,
20-Apr-88,2.90E+09,,,,
17-May-88,3.09E+09,,,,
14-Jun-88,3.35E+09,,,,
12-Jul-88,3.52E+09,,,,
8-Aug-88,2.86E+09,,,,
2-Sep-88,2.76E+09,,,,
30-Sep-88,2.80E+09,,,,
27-Oct-88,2.65E+09,,,,
23-Nov-88,2.51E+09,,,,
21-Dec-88,2.80E+09,,,,
19-Jan-89,2.88E+09,,,,
15-Feb-89,3.35E+09,,,,
15-Mar-89,2.71E+09,,,,
12-Apr-89,2.61E+09,,,,
9-May-89,2.87E+09,,,,
6-Jun-89,3.17E+09,,,,
3-Jul-89,2.96E+09,,,,
31-Jul-89,2.99E+09,,,,
25-Aug-89,3.21E+09,,,,
22-Sep-89,3.60E+09,,,,
19-Oct-89,4.63E+09,,,,
15-Nov-89,4.86E+09,,,,
13-Dec-89,4.40E+09,,,,
11-Jan-90,4.81E+09,,,,
7-Feb-90,5.19E+09,,,,
7-Mar-90,5.72E+09,,,,
3-Apr-90,6.51E+09,,,,
1-May-90,6.41E+09,,,,
29-May-90,8.44E+09,,,,
25-Jun-90,8.36E+09,,,,
23-Jul-90,8.18E+09,,,,
17-Aug-90,6.84E+09,,,,
14-Sep-90,6.79E+09,,,,
11-Oct-90,6.59E+09,,,,
7-Nov-90,7.24E+09,,,,
5-Dec-90,8.55E+09,,,,
3-Jan-91,8.62E+09,,,,
30-Jan-91,1.10E+10,,,,
27-Feb-91,1.21E+10,,,,
26-Mar-91,1.21E+10,,,,
23-Apr-91,1.18E+10,,,,
20-May-91,1.15E+10,,,,
17-Jun-91,1.31E+10,,,,
15-Jul-91,1.22E+10,,,,
9-Aug-91,1.41E+10,,,,
6-Sep-91,1.41E+10,,,,
3-Oct-91,1.53E+10,,,,
30-Oct-91,1.65E+10,,,,
26-Nov-91,1.65E+10,,,,
24-Dec-91,1.86E+10,,,,
22-Jan-92,2.22E+10,,,,
19-Feb-92,2.04E+10,,,,
17-Mar-92,2.27E+10,,,,
13-Apr-92,2.11E+10,,,,
11-May-92,2.05E+10,,,,
8-Jun-92,2.12E+10,,,,
6-Jul-92,1.89E+10,,,,
31-Jul-92,1.98E+10,,,,
27-Aug-92,2.00E+10,,,,
24-Sep-92,2.18E+10,,,,
21-Oct-92,2.48E+10,,,,
17-Nov-92,2.48E+10,,,,
15-Dec-92,2.38E+10,,,,
13-Jan-93,2.77E+10,,,,
9-Feb-93,2.54E+10,,,,
9-Mar-93,2.55E+10,,,,
5-Apr-93,2.57E+10,,,,
3-May-93,2.42E+10,,,,
28-May-93,2.60E+10,,,,
25-Jun-93,2.49E+10,,,,
23-Jul-93,2.19E+10,,,,
19-Aug-93,2.09E+10,,,,
16-Sep-93,2.14E+10,,,,
13-Oct-93,2.36E+10,,,,
9-Nov-93,2.22E+10,,,,
7-Dec-93,2.42E+10,,,,
4-Jan-94,2.30E+10,,,,
31-Jan-94,2.43E+10,,,,
28-Feb-94,2.36E+10,,,,
25-Mar-94,2.50E+10,,,,
22-Apr-94,2.62E+10,,,,
20-May-94,2.80E+10,,,,
17-Jun-94,3.03E+10,,,,
15-Jul-94,2.75E+10,,,,
11-Aug-94,3.12E+10,,,,
8-Sep-94,3.27E+10,,,,
5-Oct-94,3.22E+10,,,,
1-Nov-94,3.64E+10,,,,
29-Nov-94,3.72E+10,,,,
27-Dec-94,3.53E+10,,,,
24-Jan-95,3.61E+10,,,,
21-Feb-95,3.47E+10,,,,
20-Mar-95,4.14E+10,,,,
17-Apr-95,4.53E+10,,,,
12-May-95,4.73E+10,,,,
9-Jun-95,4.97E+10,,,,
7-Jul-95,5.64E+10,,,,
3-Aug-95,5.38E+10,,,,
30-Aug-95,5.50E+10,,,,
27-Sep-95,5.23E+10,,,,
24-Oct-95,5.78E+10,,,,
20-Nov-95,5.09E+10,,,,
18-Dec-95,5.15E+10,,,,
16-Jan-96,5.13E+10,,,,
12-Feb-96,5.94E+10,,,,
11-Mar-96,5.73E+10,,,,
8-Apr-96,6.21E+10,,,,
3-May-96,6.63E+10,,,,
31-May-96,7.10E+10,,,,
27-Jun-96,7.18E+10,,,,
25-Jul-96,7.07E+10,,,,
21-Aug-96,7.36E+10,,,,
18-Sep-96,8.14E+10,,,,
15-Oct-96,8.30E+10,,,,
11-Nov-96,8.58E+10,,,,
9-Dec-96,9.77E+10,,,,
7-Jan-97,1.02E+11,,,,
3-Feb-97,1.23E+11,,,,
3-Mar-97,1.20E+11,,,,
31-Mar-97,1.10E+11,,,,
25-Apr-97,1.36E+11,,,,
22-May-97,1.45E+11,,,,
19-Jun-97,1.55E+11,,,,
17-Jul-97,1.81E+11,,,,
13-Aug-97,1.65E+11,,,,
10-Sep-97,1.64E+11,,,,
7-Oct-97,1.65E+11,,,,
3-Nov-97,1.62E+11,,,,
1-Dec-97,1.74E+11,,,,
29-Dec-97,1.52E+11,,,,
27-Jan-98,1.77E+11,,,,
24-Feb-98,2E+11,,,,
23-Mar-98,2.04E+11,,,,
20-Apr-98,2.33E+11,,,,
15-May-98,2.20E+11,,,,
12-Jun-98,2.11E+11,,,,
10-Jul-98,2.81E+11,,,,
6-Aug-98,2.65E+11,,,,
2-Sep-98,2.50E+11,,,,
30-Sep-98,2.74E+11,,,,
27-Oct-98,2.62E+11,,,,
23-Nov-98,2.97E+11,,,,
21-Dec-98,3.49E+11,,,,
20-Jan-99,4.08E+11,,,,
17-Feb-99,3.77E+11,,,,
16-Mar-99,4.24E+11,,,,
13-Apr-99,4.59E+11,,,,
10-May-99,4.06E+11,,,,
7-Jun-99,4.09E+11,,,,
2-Jul-99,4.70E+11,,,,
30-Jul-99,4.38E+11,,,,
26-Aug-99,4.83E+11,,,,
23-Sep-99,4.69E+11,,,,
20-Oct-99,4.75E+11,,,,
16-Nov-99,4.50E+11,,,,
14-Dec-99,5.08E+11,,,,
11-Jan-00,5.66E+11,,,,
8-Feb-00,5.72E+11,,,,
7-Mar-00,4.88E+11,,,,
3-Apr-00,4.82E+11,,,,
1-May-00,3.87E+11,,,,
26-May-00,3.23E+11,,,,
23-Jun-00,4.09E+11,,,,
21-Jul-00,3.82E+11,,,,
17-Aug-00,3.78E+11,,,,
14-Sep-00,3.53E+11,,,,
11-Oct-00,2.96E+11,,,,
7-Nov-00,3.76E+11,,,,
5-Dec-00,3.19E+11,,,,
3-Jan-01,2.55E+11,,,,
31-Jan-01,3.26E+11,,,,
28-Feb-01,3.15E+11,,,,
27-Mar-01,3.11E+11,,,,
24-Apr-01,3.60E+11,,,,
21-May-01,3.70E+11,,,,
18-Jun-01,3.60E+11,,,,
16-Jul-01,3.83E+11,,,,
10-Aug-01,3.53E+11,,,,
7-Sep-01,2.98E+11,,,,
10-Oct-01,2.99E+11,,,,
6-Nov-01,3.49E+11,,,,
4-Dec-01,3.56E+11,,,,
2-Jan-02,3.62E+11,,,,
30-Jan-02,3.40E+11,,,,
27-Feb-02,3.16E+11,,,,
26-Mar-02,3.20E+11,,,,
23-Apr-02,2.92E+11,,,,
20-May-02,2.93E+11,,,,
17-Jun-02,3.02E+11,,,,
15-Jul-02,2.78E+11,,,,
9-Aug-02,2.59E+11,,,,
6-Sep-02,2.57E+11,,,,
3-Oct-02,2.39E+11,,,,
30-Oct-02,2.84E+11,,,,
26-Nov-02,3.04E+11,,,,
24-Dec-02,2.88E+11,,,,
23-Jan-03,2.80E+11,,,,
20-Feb-03,2.58E+11,,,,
19-Mar-03,2.82E+11,,,,
15-Apr-03,2.64E+11,,,,
13-May-03,2.79E+11,,,,
10-Jun-03,2.65E+11,,,,
8-Jul-03,2.98E+11,,,,
4-Aug-03,2.82E+11,,,,
29-Aug-03,2.87E+11,,,,
26-Sep-03,3.05E+11,,,,
23-Oct-03,3.12E+11,,,,
19-Nov-03,2.74E+11,,,,
17-Dec-03,2.92E+11,,,,
15-Jan-04,2.97E+11,,,,
12-Feb-04,2.91E+11,,,,
11-Mar-04,2.71E+11,,,,
7-Apr-04,2.76E+11,,,,
5-May-04,2.87E+11,,,,
2-Jun-04,2.82E+11,,,,
30-Jun-04,3.13E+11,,,,
28-Jul-04,3.10E+11,,,,
24-Aug-04,2.99E+11,,,,
21-Sep-04,2.96E+11,,,,
18-Oct-04,3.09E+11,,,,
12-Nov-04,3.26E+11,,,,
10-Dec-04,2.94E+11,,,,
7-Jan-05,2.90E+11,,,,
4-Feb-05,2.86E+11,,,,
4-Mar-05,2.74E+11,,,,
1-Apr-05,2.61E+11,,,,
28-Apr-05,2.64E+11,,,,
25-May-05,2.78E+11,,,,
22-Jun-05,2.71E+11,,,,
20-Jul-05,2.81E+11,,,,
16-Aug-05,2.87E+11,,,,
13-Sep-05,2.84E+11,,,,
10-Oct-05,2.60E+11,,,,
4-Nov-05,2.84E+11,,,,
2-Dec-05,2.98E+11,,,,
30-Dec-05,2.78E+11,,,,
30-Jan-06,2.89E+11,,,,
27-Feb-06,2.80E+11,,,,
24-Mar-06,2.79E+11,,,,
21-Apr-06,2.78E+11,,,,
18-May-06,2.33E+11,,,,
15-Jun-06,2.26E+11,,,,
13-Jul-06,2.24E+11,,,,
9-Aug-06,2.46E+11,,,,
6-Sep-06,2.55E+11,,,,
3-Oct-06,2.69E+11,,,,
30-Oct-06,2.81E+11,,,,
27-Nov-06,2.90E+11,,,,
22-Dec-06,2.91E+11,,,,
24-Jan-07,3.04E+11,,,,
21-Feb-07,2.87E+11,,,,
20-Mar-07,2.73E+11,,,,
17-Apr-07,2.76E+11,,,,
14-May-07,2.96E+11,,,,
11-Jun-07,2.87E+11,,,,
9-Jul-07,2.80E+11,,,,
3-Aug-07,2.72E+11,,,,
30-Aug-07,2.67E+11,,,,
27-Sep-07,2.77E+11,,,,
24-Oct-07,2.92E+11,,,,
20-Nov-07,3.24E+11,,,,
18-Dec-07,3.25E+11,,,,
16-Jan-08,3.10E+11,,,,
13-Feb-08,2.69E+11,,,,
12-Mar-08,2.67E+11,,,,
9-Apr-08,2.69E+11,,,,
6-May-08,2.77E+11,,,,
3-Jun-08,2.54E+11,,,,
30-Jun-08,2.52E+11,,,,
28-Jul-08,2.33E+11,,,,
22-Aug-08,2.54E+11,,,,
19-Sep-08,2.30E+11,,,,
16-Oct-08,2.15E+11,,,,
12-Nov-08,1.81E+11,,,,
10-Dec-08,1.83E+11,,,,
8-Jan-09,1.79E+11,,,,
5-Feb-09,1.69E+11,,,,
5-Mar-09,1.36E+11,,,,
1-Apr-09,1.72E+11,,,,
29-Apr-09,1.80E+11,,,,
27-May-09,1.79E+11,,,,
23-Jun-09,2.08E+11,,,,
21-Jul-09,2.21E+11,,,,
17-Aug-09,2.07E+11,,,,
14-Sep-09,2.23E+11,,,,
9-Oct-09,2.27E+11,,,,
5-Nov-09,2.53E+11,,,,
3-Dec-09,2.65E+11,,,,
31-Dec-09,2.69E+11,,,,
29-Jan-10,2.47E+11,,,,
26-Feb-10,2.51E+11,,,,
25-Mar-10,2.63E+11,,,,
22-Apr-10,2.75E+11,,,,
19-May-10,2.48E+11,,,,
16-Jun-10,2.31E+11,,,,
14-Jul-10,2.21E+11,,,,
10-Aug-10,2.17E+11,,,,
7-Sep-10,2.06E+11,,,,
4-Oct-10,2.05E+11,,,,
29-Oct-10,2.28E+11,,,,
26-Nov-10,2.16E+11,,,,
23-Dec-10,2.42E+11,,,,
21-Jan-11,2.35E+11,,,,
17-Feb-11,2.29E+11,,,,
17-Mar-11,2.08E+11,,,,
13-Apr-11,2.16E+11,,,,
11-May-11,2.14E+11,,,,
8-Jun-11,2.02E+11,,,,
6-Jul-11,2.21E+11,,,,
2-Aug-11,2.25E+11,,,,
29-Aug-11,2.17E+11,,,,
26-Sep-11,2.15E+11,,,,
21-Oct-11,2.29E+11,,,,
17-Nov-11,2.15E+11,,,,
15-Dec-11,2.15E+11,,,,
13-Jan-12,2.37E+11,,,,
10-Feb-12,2.56E+11,,,,
9-Mar-12,2.68E+11,,,,
5-Apr-12,2.65E+11,,,,
3-May-12,2.67E+11,,,,
31-May-12,2.45E+11,,,,
27-Jun-12,2.54E+11,,,,
25-Jul-12,2.42E+11,,,,
21-Aug-12,2.58E+11,,,,
18-Sep-12,2.63E+11,,,,
15-Oct-12,2.48E+11,,,,
9-Nov-12,2.43E+11,,,,
7-Dec-12,2.23E+11,,,,
7-Jan-13,2.24E+11,,,,
4-Feb-13,2.30E+11,,,,
4-Mar-13,2.36E+11,,,,
1-Apr-13,2.39E+11,,,,
26-Apr-13,2.65E+11,,,,
23-May-13,2.85E+11,,,,
20-Jun-13,2.80E+11,,,,
18-Jul-13,2.95E+11,,,,
14-Aug-13,2.69E+11,,,,
11-Sep-13,2.73E+11,,,,
8-Oct-13,2.76E+11,,,,
4-Nov-13,3E+11,,,,
2-Dec-13,3.21E+11,,,,
30-Dec-13,3.11E+11,,,,
28-Jan-14,3.01E+11,,,,
25-Feb-14,3.12E+11,,,,
24-Mar-14,3.36E+11,,,,
21-Apr-14,3.30E+11,,,,
16-May-14,3.29E+11,,,,
13-Jun-14,3.41E+11,,,,
11-Jul-14,3.47E+11,,,,
7-Aug-14,3.56E+11,,,,
4-Sep-14,3.73E+11,,,,
1-Oct-14,3.79E+11,,,,
28-Oct-14,3.83E+11,,,,
24-Nov-14,3.92E+11,,,,
22-Dec-14,3.96E+11,,,,
21-Jan-15,3.77E+11,,,,
18-Feb-15,3.57E+11,,,,
17-Mar-15,3.42E+11,,,,
14-Apr-15,3.38E+11,,,,
11-May-15,3.83E+11,,,,
8-Jun-15,3.70E+11,,,,
6-Jul-15,3.56E+11,,,,
31-Jul-15,3.74E+11,,,,
27-Aug-15,3.51E+11,,,,
24-Sep-15,3.51E+11,,,,
21-Oct-15,3.77E+11,,,,
17-Nov-15,4.23E+11,,,,
15-Dec-15,4.41E+11,,,,
13-Jan-16,4.09E+11,,,,
10-Feb-16,3.93E+11,,,,
9-Mar-16,4.18E+11,,,,
6-Apr-16,4.34E+11,,,,
3-May-16,3.91E+11,,,,
31-May-16,4.17E+11,,,,
27-Jun-16,3.81E+11,,,,
25-Jul-16,4.42E+11,,,,
19-Aug-16,4.49E+11,,,,
16-Sep-16,4.46E+11,,,,
13-Oct-16,4.43E+11,,,,
9-Nov-16,4.68E+11,,,,
7-Dec-16,4.77E+11,,,,
5-Jan-17,4.82E+11,,,,
2-Feb-17,4.88E+11,,,,
2-Mar-17,4.95E+11,,,,
29-Mar-17,5.06E+11,,,,
26-Apr-17,5.24E+11,,,,
23-May-17,5.30E+11,,,,
20-Jun-17,5.40E+11,,,,
18-Jul-17,5.65E+11,,,,
14-Aug-17,5.67E+11,,,,
11-Sep-17,5.76E+11,,,,
6-Oct-17,5.87E+11,,,,
2-Nov-17,6.48E+11,,,,
30-Nov-17,6.49E+11,,,,
28-Dec-17,6.61E+11,,,,
26-Jan-18,7.24E+11,,,,
23-Feb-18,7.24E+11,,,,
22-Mar-18,6.91E+11,,,,
19-Apr-18,7.39E+11,,,,
16-May-18,7.46E+11,,,,
13-Jun-18,7.75E+11,,,,
11-Jul-18,7.83E+11,,,,
7-Aug-18,8.35E+11,,,,
4-Sep-18,8.57E+11,,,,
1-Oct-18,8.88E+11,,,,
26-Oct-18,8.21E+11,,,,
23-Nov-18,7.91E+11,,,,
21-Dec-18,7.54E+11,,,,
22-Jan-19,8.12E+11,,,,
19-Feb-19,8.30E+11,,,,
19-Mar-19,9.03E+11,,,,
15-Apr-19,9.28E+11,,,,
13-May-19,9.45E+11,,,,
10-Jun-19,1.02E+12,,,,
8-Jul-19,1.05E+12,,,,
2-Aug-19,1.04E+12,,,,
29-Aug-19,1.05E+12,,,,
26-Sep-19,1.07E+12,,,,
23-Oct-19,1.05E+12,,,,
minimum,,average,,maximum,
6.43E+08,US dollars,2.45E+11,US dollars,1.13E+12,US dollars
24-Mar-86,,,,13-Nov-19,
