Date,In US dollars,,,
1986-03-13,693000000.00,,,
1986-04-10,698000000.00,,,
1986-05-07,784000000.00,,,
1986-06-04,834000000.00,,,
1986-07-01,784000000.00,,,
1986-07-29,759000000.00,,,
1986-08-25,753000000.00,,,
1986-09-22,753000000.00,,,
1986-10-17,918000000.00,,,
1986-11-13,1080000000.00,,,
1986-12-11,1250000000.00,,,
1987-01-09,1480000000.00,,,
1987-02-05,1820000000.00,,,
1987-03-05,2130000000.00,,,
1987-04-01,2320000000.00,,,
1987-04-29,2630000000.00,,,
1987-05-27,2790000000.00,,,
1987-06-23,2620000000.00,,,
1987-07-21,2610000000.00,,,
1987-08-17,2750000000.00,,,
1987-09-14,3140000000.00,,,
1987-10-09,3780000000.00,,,
1987-11-05,2660000000.00,,,
1987-12-03,2130000000.00,,,
1987-12-31,2860000000.00,,,
1988-01-28,2980000000.00,,,
1988-02-25,3060000000.00,,,
1988-03-23,3110000000.00,,,
1988-04-20,2900000000.00,,,
1988-05-17,3090000000.00,,,
1988-06-14,3350000000.00,,,
1988-07-12,3520000000.00,,,
1988-08-08,2860000000.00,,,
1988-09-02,2760000000.00,,,
1988-09-30,2800000000.00,,,
1988-10-27,2650000000.00,,,
1988-11-23,2510000000.00,,,
1988-12-21,2800000000.00,,,
1989-01-19,2880000000.00,,,
1989-02-15,3350000000.00,,,
1989-03-15,2710000000.00,,,
1989-04-12,2610000000.00,,,
1989-05-09,2870000000.00,,,
1989-06-06,3170000000.00,,,
1989-07-03,2960000000.00,,,
1989-07-31,2990000000.00,,,
1989-08-25,3210000000.00,,,
1989-09-22,3600000000.00,,,
1989-10-19,4630000000.00,,,
1989-11-15,4860000000.00,,,
1989-12-13,4400000000.00,,,
1990-01-11,4810000000.00,,,
1990-02-07,5190000000.00,,,
1990-03-07,5720000000.00,,,
1990-04-03,6510000000.00,,,
1990-05-01,6410000000.00,,,
1990-05-29,8440000000.00,,,
1990-06-25,8360000000.00,,,
1990-07-23,8180000000.00,,,
1990-08-17,6840000000.00,,,
1990-09-14,6790000000.00,,,
1990-10-11,6590000000.00,,,
1990-11-07,7240000000.00,,,
1990-12-05,8550000000.00,,,
1991-01-03,8620000000.00,,,
1991-01-30,11000000000.00,,,
1991-02-27,12100000000.00,,,
1991-03-26,12100000000.00,,,
1991-04-23,11800000000.00,,,
1991-05-20,11500000000.00,,,
1991-06-17,13100000000.00,,,
1991-07-15,12200000000.00,,,
1991-08-09,14100000000.00,,,
1991-09-06,14100000000.00,,,
1991-10-03,15300000000.00,,,
1991-10-30,16500000000.00,,,
1991-11-26,16500000000.00,,,
1991-12-24,18600000000.00,,,
1992-01-22,22200000000.00,,,
1992-02-19,20400000000.00,,,
1992-03-17,22700000000.00,,,
1992-04-13,21100000000.00,,,
1992-05-11,20500000000.00,,,
1992-06-08,21200000000.00,,,
1992-07-06,18900000000.00,,,
1992-07-31,19800000000.00,,,
1992-08-27,20000000000.00,,,
1992-09-24,21800000000.00,,,
1992-10-21,24800000000.00,,,
1992-11-17,24800000000.00,,,
1992-12-15,23800000000.00,,,
1993-01-13,27700000000.00,,,
1993-02-09,25400000000.00,,,
1993-03-09,25500000000.00,,,
1993-04-05,25700000000.00,,,
1993-05-03,24200000000.00,,,
1993-05-28,26000000000.00,,,
1993-06-25,24900000000.00,,,
1993-07-23,21900000000.00,,,
1993-08-19,20900000000.00,,,
1993-09-16,21400000000.00,,,
1993-10-13,23600000000.00,,,
1993-11-09,22200000000.00,,,
1993-12-07,24200000000.00,,,
1994-01-04,23000000000.00,,,
1994-01-31,24300000000.00,,,
1994-02-28,23600000000.00,,,
1994-03-25,25000000000.00,,,
1994-04-22,26200000000.00,,,
1994-05-20,28000000000.00,,,
1994-06-17,30300000000.00,,,
1994-07-15,27500000000.00,,,
1994-08-11,31200000000.00,,,
1994-09-08,32700000000.00,,,
1994-10-05,32200000000.00,,,
1994-11-01,36400000000.00,,,
1994-11-29,37200000000.00,,,
1994-12-27,35300000000.00,,,
1995-01-24,36100000000.00,,,
1995-02-21,34700000000.00,,,
1995-03-20,41400000000.00,,,
1995-04-17,45300000000.00,,,
1995-05-12,47300000000.00,,,
1995-06-09,49700000000.00,,,
1995-07-07,56400000000.00,,,
1995-08-03,53800000000.00,,,
1995-08-30,55000000000.00,,,
1995-09-27,52300000000.00,,,
1995-10-24,57800000000.00,,,
1995-11-20,50900000000.00,,,
1995-12-18,51500000000.00,,,
1996-01-16,51300000000.00,,,
1996-02-12,59400000000.00,,,
1996-03-11,57300000000.00,,,
1996-04-08,62100000000.00,,,
1996-05-03,66300000000.00,,,
1996-05-31,71000000000.00,,,
1996-06-27,71800000000.00,,,
1996-07-25,70700000000.00,,,
1996-08-21,73600000000.00,,,
1996-09-18,81400000000.00,,,
1996-10-15,83000000000.00,,,
1996-11-11,85800000000.00,,,
1996-12-09,97700000000.00,,,
1997-01-07,102000000000.00,,,
1997-02-03,123000000000.00,,,
1997-03-03,120000000000.00,,,
1997-03-31,110000000000.00,,,
1997-04-25,136000000000.00,,,
1997-05-22,145000000000.00,,,
1997-06-19,155000000000.00,,,
1997-07-17,181000000000.00,,,
1997-08-13,165000000000.00,,,
1997-09-10,164000000000.00,,,
1997-10-07,165000000000.00,,,
1997-11-03,162000000000.00,,,
1997-12-01,174000000000.00,,,
1997-12-29,152000000000.00,,,
1998-01-27,177000000000.00,,,
1998-02-24,200000000000.00,,,
1998-03-23,204000000000.00,,,
1998-04-20,233000000000.00,,,
1998-05-15,220000000000.00,,,
1998-06-12,211000000000.00,,,
1998-07-10,281000000000.00,,,
1998-08-06,265000000000.00,,,
1998-09-02,250000000000.00,,,
1998-09-30,274000000000.00,,,
1998-10-27,262000000000.00,,,
1998-11-23,297000000000.00,,,
1998-12-21,349000000000.00,,,
1999-01-20,408000000000.00,,,
1999-02-17,377000000000.00,,,
1999-03-16,424000000000.00,,,
1999-04-13,459000000000.00,,,
1999-05-10,406000000000.00,,,
1999-06-07,409000000000.00,,,
1999-07-02,470000000000.00,,,
1999-07-30,438000000000.00,,,
1999-08-26,483000000000.00,,,
1999-09-23,469000000000.00,,,
1999-10-20,475000000000.00,,,
1999-11-16,450000000000.00,,,
1999-12-14,508000000000.00,,,
2000-01-11,566000000000.00,,,
2000-02-08,572000000000.00,,,
2000-03-07,488000000000.00,,,
2000-04-03,482000000000.00,,,
2000-05-01,387000000000.00,,,
2000-05-26,323000000000.00,,,
2000-06-23,409000000000.00,,,
2000-07-21,382000000000.00,,,
2000-08-17,378000000000.00,,,
2000-09-14,353000000000.00,,,
2000-10-11,296000000000.00,,,
2000-11-07,376000000000.00,,,
2000-12-05,319000000000.00,,,
2001-01-03,255000000000.00,,,
2001-01-31,326000000000.00,,,
2001-02-28,315000000000.00,,,
2001-03-27,311000000000.00,,,
2001-04-24,360000000000.00,,,
2001-05-21,370000000000.00,,,
2001-06-18,360000000000.00,,,
2001-07-16,383000000000.00,,,
2001-08-10,353000000000.00,,,
2001-09-07,298000000000.00,,,
2001-10-10,299000000000.00,,,
2001-11-06,349000000000.00,,,
2001-12-04,356000000000.00,,,
2002-01-02,362000000000.00,,,
2002-01-30,340000000000.00,,,
2002-02-27,316000000000.00,,,
2002-03-26,320000000000.00,,,
2002-04-23,292000000000.00,,,
2002-05-20,293000000000.00,,,
2002-06-17,302000000000.00,,,
2002-07-15,278000000000.00,,,
2002-08-09,259000000000.00,,,
2002-09-06,257000000000.00,,,
2002-10-03,239000000000.00,,,
2002-10-30,284000000000.00,,,
2002-11-26,304000000000.00,,,
2002-12-24,288000000000.00,,,
2003-01-23,280000000000.00,,,
2003-02-20,258000000000.00,,,
2003-03-19,282000000000.00,,,
2003-04-15,264000000000.00,,,
2003-05-13,279000000000.00,,,
2003-06-10,265000000000.00,,,
2003-07-08,298000000000.00,,,
2003-08-04,282000000000.00,,,
2003-08-29,287000000000.00,,,
2003-09-26,305000000000.00,,,
2003-10-23,312000000000.00,,,
2003-11-19,274000000000.00,,,
2003-12-17,292000000000.00,,,
2004-01-15,297000000000.00,,,
2004-02-12,291000000000.00,,,
2004-03-11,271000000000.00,,,
2004-04-07,276000000000.00,,,
2004-05-05,287000000000.00,,,
2004-06-02,282000000000.00,,,
2004-06-30,313000000000.00,,,
2004-07-28,310000000000.00,,,
2004-08-24,299000000000.00,,,
2004-09-21,296000000000.00,,,
2004-10-18,309000000000.00,,,
2004-11-12,326000000000.00,,,
2004-12-10,294000000000.00,,,
2005-01-07,290000000000.00,,,
2005-02-04,286000000000.00,,,
2005-03-04,274000000000.00,,,
2005-04-01,261000000000.00,,,
2005-04-28,264000000000.00,,,
2005-05-25,278000000000.00,,,
2005-06-22,271000000000.00,,,
2005-07-20,281000000000.00,,,
2005-08-16,287000000000.00,,,
2005-09-13,284000000000.00,,,
2005-10-10,260000000000.00,,,
2005-11-04,284000000000.00,,,
2005-12-02,298000000000.00,,,
2005-12-30,278000000000.00,,,
2006-01-30,289000000000.00,,,
2006-02-27,280000000000.00,,,
2006-03-24,279000000000.00,,,
2006-04-21,278000000000.00,,,
2006-05-18,233000000000.00,,,
2006-06-15,226000000000.00,,,
2006-07-13,224000000000.00,,,
2006-08-09,246000000000.00,,,
2006-09-06,255000000000.00,,,
2006-10-03,269000000000.00,,,
2006-10-30,281000000000.00,,,
2006-11-27,290000000000.00,,,
2006-12-22,291000000000.00,,,
2007-01-24,304000000000.00,,,
2007-02-21,287000000000.00,,,
2007-03-20,273000000000.00,,,
2007-04-17,276000000000.00,,,
2007-05-14,296000000000.00,,,
2007-06-11,287000000000.00,,,
2007-07-09,280000000000.00,,,
2007-08-03,272000000000.00,,,
2007-08-30,267000000000.00,,,
2007-09-27,277000000000.00,,,
2007-10-24,292000000000.00,,,
2007-11-20,324000000000.00,,,
2007-12-18,325000000000.00,,,
2008-01-16,310000000000.00,,,
2008-02-13,269000000000.00,,,
2008-03-12,267000000000.00,,,
2008-04-09,269000000000.00,,,
2008-05-06,277000000000.00,,,
2008-06-03,254000000000.00,,,
2008-06-30,252000000000.00,,,
2008-07-28,233000000000.00,,,
2008-08-22,254000000000.00,,,
2008-09-19,230000000000.00,,,
2008-10-16,215000000000.00,,,
2008-11-12,181000000000.00,,,
2008-12-10,183000000000.00,,,
2009-01-08,179000000000.00,,,
2009-02-05,169000000000.00,,,
2009-03-05,136000000000.00,,,
2009-04-01,172000000000.00,,,
2009-04-29,180000000000.00,,,
2009-05-27,179000000000.00,,,
2009-06-23,208000000000.00,,,
2009-07-21,221000000000.00,,,
2009-08-17,207000000000.00,,,
2009-09-14,223000000000.00,,,
2009-10-09,227000000000.00,,,
2009-11-05,253000000000.00,,,
2009-12-03,265000000000.00,,,
2009-12-31,269000000000.00,,,
2010-01-29,247000000000.00,,,
2010-02-26,251000000000.00,,,
2010-03-25,263000000000.00,,,
2010-04-22,275000000000.00,,,
2010-05-19,248000000000.00,,,
2010-06-16,231000000000.00,,,
2010-07-14,221000000000.00,,,
2010-08-10,217000000000.00,,,
2010-09-07,206000000000.00,,,
2010-10-04,205000000000.00,,,
2010-10-29,228000000000.00,,,
2010-11-26,216000000000.00,,,
2010-12-23,242000000000.00,,,
2011-01-21,235000000000.00,,,
2011-02-17,229000000000.00,,,
2011-03-17,208000000000.00,,,
2011-04-13,216000000000.00,,,
2011-05-11,214000000000.00,,,
2011-06-08,202000000000.00,,,
2011-07-06,221000000000.00,,,
2011-08-02,225000000000.00,,,
2011-08-29,217000000000.00,,,
2011-09-26,215000000000.00,,,
2011-10-21,229000000000.00,,,
2011-11-17,215000000000.00,,,
2011-12-15,215000000000.00,,,
2012-01-13,237000000000.00,,,
2012-02-10,256000000000.00,,,
2012-03-09,268000000000.00,,,
2012-04-05,265000000000.00,,,
2012-05-03,267000000000.00,,,
2012-05-31,245000000000.00,,,
2012-06-27,254000000000.00,,,
2012-07-25,242000000000.00,,,
2012-08-21,258000000000.00,,,
2012-09-18,263000000000.00,,,
2012-10-15,248000000000.00,,,
2012-11-09,243000000000.00,,,
2012-12-07,223000000000.00,,,
2013-01-07,224000000000.00,,,
2013-02-04,230000000000.00,,,
2013-03-04,236000000000.00,,,
2013-04-01,239000000000.00,,,
2013-04-26,265000000000.00,,,
2013-05-23,285000000000.00,,,
2013-06-20,280000000000.00,,,
2013-07-18,295000000000.00,,,
2013-08-14,269000000000.00,,,
2013-09-11,273000000000.00,,,
2013-10-08,276000000000.00,,,
2013-11-04,300000000000.00,,,
2013-12-02,321000000000.00,,,
2013-12-30,311000000000.00,,,
2014-01-28,301000000000.00,,,
2014-02-25,312000000000.00,,,
2014-03-24,336000000000.00,,,
2014-04-21,330000000000.00,,,
2014-05-16,329000000000.00,,,
2014-06-13,341000000000.00,,,
2014-07-11,347000000000.00,,,
2014-08-07,356000000000.00,,,
2014-09-04,373000000000.00,,,
2014-10-01,379000000000.00,,,
2014-10-28,383000000000.00,,,
2014-11-24,392000000000.00,,,
2014-12-22,396000000000.00,,,
2015-01-21,377000000000.00,,,
2015-02-18,357000000000.00,,,
2015-03-17,342000000000.00,,,
2015-04-14,338000000000.00,,,
2015-05-11,383000000000.00,,,
2015-06-08,370000000000.00,,,
2015-07-06,356000000000.00,,,
2015-07-31,374000000000.00,,,
2015-08-27,351000000000.00,,,
2015-09-24,351000000000.00,,,
2015-10-21,377000000000.00,,,
2015-11-17,423000000000.00,,,
2015-12-15,441000000000.00,,,
2016-01-13,409000000000.00,,,
2016-02-10,393000000000.00,,,
2016-03-09,418000000000.00,,,
2016-04-06,434000000000.00,,,
2016-05-03,391000000000.00,,,
2016-05-31,417000000000.00,,,
2016-06-27,381000000000.00,,,
2016-07-25,442000000000.00,,,
2016-08-19,449000000000.00,,,
2016-09-16,446000000000.00,,,
2016-10-13,443000000000.00,,,
2016-11-09,468000000000.00,,,
2016-12-07,477000000000.00,,,
2017-01-05,482000000000.00,,,
2017-02-02,488000000000.00,,,
2017-03-02,495000000000.00,,,
2017-03-29,506000000000.00,,,
2017-04-26,524000000000.00,,,
2017-05-23,530000000000.00,,,
2017-06-20,540000000000.00,,,
2017-07-18,565000000000.00,,,
2017-08-14,567000000000.00,,,
2017-09-11,576000000000.00,,,
2017-10-06,587000000000.00,,,
2017-11-02,648000000000.00,,,
2017-11-30,649000000000.00,,,
2017-12-28,661000000000.00,,,
2018-01-26,724000000000.00,,,
2018-02-23,724000000000.00,,,
2018-03-22,691000000000.00,,,
2018-04-19,739000000000.00,,,
2018-05-16,746000000000.00,,,
2018-06-13,775000000000.00,,,
2018-07-11,783000000000.00,,,
2018-08-07,835000000000.00,,,
2018-09-04,857000000000.00,,,
2018-10-01,888000000000.00,,,
2018-10-26,821000000000.00,,,
2018-11-23,791000000000.00,,,
2018-12-21,754000000000.00,,,
2019-01-22,812000000000.00,,,
2019-02-19,830000000000.00,,,
2019-03-19,903000000000.00,,,
2019-04-15,928000000000.00,,,
2019-05-13,945000000000.00,,,
2019-06-10,1020000000000.00,,,
2019-07-08,1050000000000.00,,,
2019-08-02,1040000000000.00,,,
2019-08-29,1050000000000.00,,,
2019-09-26,1070000000000.00,,,
2019-10-23,1050000000000.00,,,
,,,,
,,,,
,,,,
