YEAR,INTC,CSCO,ADBE,CRM,IBM,AAPL,AMZN,MSFT,FB,GOOG,SP500,VGT
01/01/62,,,,,7.23,,,,,,,
02/01/62,,,,,7.16,,,,,,,
03/01/62,,,,,7.10,,,,,,,
04/01/62,,,,,6.05,,,,,,,
05/01/62,,,,,5.23,,,,,,,
06/01/62,,,,,4.52,,,,,,,
07/01/62,,,,,5.16,,,,,,,
08/01/62,,,,,5.28,,,,,,,
09/01/62,,,,,4.71,,,,,,,
10/01/62,,,,,4.61,,,,,,,
11/01/62,,,,,5.31,,,,,,,
12/01/62,,,,,5.20,,,,,,,
01/01/63,,,,,5.65,,,,,,,
02/01/63,,,,,5.33,,,,,,,
03/01/63,,,,,5.61,,,,,,,
04/01/63,,,,,6.18,,,,,,,
05/01/63,,,,,6.36,,,,,,,
06/01/63,,,,,5.82,,,,,,,
07/01/63,,,,,5.79,,,,,,,
08/01/63,,,,,5.93,,,,,,,
09/01/63,,,,,6.03,,,,,,,
10/01/63,,,,,6.59,,,,,,,
11/01/63,,,,,6.47,,,,,,,
12/01/63,,,,,6.76,,,,,,,
01/01/64,,,,,7.23,,,,,,,
02/01/64,,,,,7.59,,,,,,,
03/01/64,,,,,7.92,,,,,,,
04/01/64,,,,,7.60,,,,,,,
05/01/64,,,,,8.00,,,,,,,
06/01/64,,,,,7.95,,,,,,,
07/01/64,,,,,7.70,,,,,,,
08/01/64,,,,,7.34,,,,,,,
09/01/64,,,,,7.28,,,,,,,
10/01/64,,,,,7.00,,,,,,,
11/01/64,,,,,6.88,,,,,,,
12/01/64,,,,,6.83,,,,,,,
01/01/65,,,,,7.48,,,,,,,
02/01/65,,,,,7.60,,,,,,,
03/01/65,,,,,7.57,,,,,,,
04/01/65,,,,,8.08,,,,,,,
05/01/65,,,,,7.97,,,,,,,
06/01/65,,,,,7.63,,,,,,,
07/01/65,,,,,7.98,,,,,,,
08/01/65,,,,,8.32,,,,,,,
09/01/65,,,,,8.54,,,,,,,
10/01/65,,,,,8.88,,,,,,,
11/01/65,,,,,8.75,,,,,,,
12/01/65,,,,,8.32,,,,,,,
01/01/66,,,,,8.27,,,,,,,
02/01/66,,,,,8.58,,,,,,,
03/01/66,,,,,8.60,,,,,,,
04/01/66,,,,,9.29,,,,,,,
05/01/66,,,,,9.07,,,,,,,
06/01/66,,,,,8.76,,,,,,,
07/01/66,,,,,8.52,,,,,,,
08/01/66,,,,,8.01,,,,,,,
09/01/66,,,,,7.94,,,,,,,
10/01/66,,,,,8.30,,,,,,,
11/01/66,,,,,9.40,,,,,,,
12/01/66,,,,,9.29,,,,,,,
01/01/67,,,,,9.99,,,,,,,
02/01/67,,,,,10.75,,,,,,,
03/01/67,,,,,11.28,,,,,,,
04/01/67,,,,,12.41,,,,,,,
05/01/67,,,,,11.66,,,,,,,
06/01/67,,,,,12.44,,,,,,,
07/01/67,,,,,12.69,,,,,,,
08/01/67,,,,,12.49,,,,,,,
09/01/67,,,,,13.71,,,,,,,
10/01/67,,,,,14.84,,,,,,,
11/01/67,,,,,15.30,,,,,,,
12/01/67,,,,,15.68,,,,,,,
01/01/68,,,,,14.86,,,,,,,
02/01/68,,,,,14.50,,,,,,,
03/01/68,,,,,15.31,,,,,,,
04/01/68,,,,,16.94,,,,,,,
05/01/68,,,,,17.85,,,,,,,
06/01/68,,,,,17.69,,,,,,,
07/01/68,,,,,16.94,,,,,,,
08/01/68,,,,,16.75,,,,,,,
09/01/68,,,,,16.75,,,,,,,
10/01/68,,,,,15.35,,,,,,,
11/01/68,,,,,16.69,,,,,,,
12/01/68,,,,,15.75,,,,,,,
01/01/69,,,,,14.81,,,,,,,
02/01/69,,,,,14.67,,,,,,,
03/01/69,,,,,15.70,,,,,,,
04/01/69,,,,,16.40,,,,,,,
05/01/69,,,,,15.95,,,,,,,
06/01/69,,,,,16.89,,,,,,,
07/01/69,,,,,16.23,,,,,,,
08/01/69,,,,,17.25,,,,,,,
09/01/69,,,,,17.26,,,,,,,
10/01/69,,,,,18.03,,,,,,,
11/01/69,,,,,17.85,,,,,,,
12/01/69,,,,,18.23,,,,,,,
01/01/70,,,,,16.76,,,,,,,
02/01/70,,,,,17.01,,,,,,,
03/01/70,,,,,16.92,,,,,,,
04/01/70,,,,,14.90,,,,,,,
05/01/70,,,,,13.90,,,,,,,
06/01/70,,,,,12.50,,,,,,,
07/01/70,,,,,12.61,,,,,,,
08/01/70,,,,,13.31,,,,,,,
09/01/70,,,,,14.59,,,,,,,
10/01/70,,,,,14.70,,,,,,,
11/01/70,,,,,15.36,,,,,,,
12/01/70,,,,,15.89,,,,,,,
01/01/71,,,,,16.28,,,,,,,
02/01/71,,,,,16.83,,,,,,,
03/01/71,,,,,17.88,,,,,,,
04/01/71,,,,,17.89,,,,,,,
05/01/71,,,,,16.35,,,,,,,
06/01/71,,,,,15.85,,,,,,,
07/01/71,,,,,14.56,,,,,,,
08/01/71,,,,,15.20,,,,,,,
09/01/71,,,,,15.19,,,,,,,
10/01/71,,,,,15.03,,,,,,,
11/01/71,,,,,15.28,,,,,,,
12/01/71,,,,,16.83,,,,,,,
01/01/72,,,,,18.40,,,,,,,
02/01/72,,,,,18.42,,,,,,,
03/01/72,,,,,19.11,,,,,,,
04/01/72,,,,,19.30,,,,,,,
05/01/72,,,,,19.89,,,,,,,
06/01/72,,,,,19.60,,,,,,,
07/01/72,,,,,20.04,,,,,,,
08/01/72,,,,,20.42,,,,,,,
09/01/72,,,,,20.33,,,,,,,
10/01/72,,,,,19.28,,,,,,,
11/01/72,,,,,19.55,,,,,,,
12/01/72,,,,,20.10,,,,,,,
01/01/73,,,,,21.78,,,,,,,
02/01/73,,,,,21.58,,,,,,,
03/01/73,,,,,21.58,,,,,,,
04/01/73,,,,,20.40,,,,,,,
05/01/73,,,,,19.67,,,,,,,
06/01/73,,,,,19.81,,,,,,,
07/01/73,,,,,19.66,,,,,,,
08/01/73,,,,,18.81,,,,,,,
09/01/73,,,,,16.13,,,,,,,
10/01/73,,,,,17.52,,,,,,,
11/01/73,,,,,16.56,,,,,,,
12/01/73,,,,,15.42,,,,,,,
01/01/74,,,,,15.33,,,,,,,
02/01/74,,,,,14.87,,,,,,,
03/01/74,,,,,14.73,,,,,,,
04/01/74,,,,,14.20,,,,,,,
05/01/74,,,,,13.28,,,,,,,
06/01/74,,,,,13.30,,,,,,,
07/01/74,,,,,12.60,,,,,,,
08/01/74,,,,,12.00,,,,,,,
09/01/74,,,,,9.94,,,,,,,
10/01/74,,,,,11.82,,,,,,,
11/01/74,,,,,11.08,,,,,,,
12/01/74,,,,,10.50,,,,,,,
01/01/75,,,,,11.77,,,,,,,
02/01/75,,,,,13.47,,,,,,,
03/01/75,,,,,12.91,,,,,,,
04/01/75,,,,,13.12,,,,,,,
05/01/75,,,,,13.44,,,,,,,
06/01/75,,,,,13.06,,,,,,,
07/01/75,,,,,11.89,,,,,,,
08/01/75,,,,,11.64,,,,,,,
09/01/75,,,,,11.77,,,,,,,
10/01/75,,,,,13.27,,,,,,,
11/01/75,,,,,14.15,,,,,,,
12/01/75,,,,,14.02,,,,,,,
01/01/76,,,,,16.11,,,,,,,
02/01/76,,,,,15.98,,,,,,,
03/01/76,,,,,16.38,,,,,,,
04/01/76,,,,,15.84,,,,,,,
05/01/76,,,,,16.04,,,,,,,
06/01/76,,,,,17.30,,,,,,,
07/01/76,,,,,17.01,,,,,,,
08/01/76,,,,,17.10,,,,,,,
09/01/76,,,,,17.59,,,,,,,
10/01/76,,,,,16.98,,,,,,,
11/01/76,,,,,16.94,,,,,,,
12/01/76,,,,,17.45,,,,,,,
01/01/77,,,,,17.20,,,,,,,
02/01/77,,,,,17.25,,,,,,,
03/01/77,,,,,17.28,,,,,,,
04/01/77,,,,,16.17,,,,,,,
05/01/77,,,,,15.34,,,,,,,
06/01/77,,,,,16.50,,,,,,,
07/01/77,,,,,16.76,,,,,,,
08/01/77,,,,,16.77,,,,,,,
09/01/77,,,,,16.31,,,,,,,
10/01/77,,,,,16.08,,,,,,,
11/01/77,,,,,16.50,,,,,,,
12/01/77,,,,,17.09,,,,,,,
01/01/78,,,,,16.59,,,,,,,
02/01/78,,,,,15.70,,,,,,,
03/01/78,,,,,14.72,,,,,,,
04/01/78,,,,,16.63,,,,,,,
05/01/78,,,,,16.14,,,,,,,
06/01/78,,,,,16.08,,,,,,,
07/01/78,,,,,17.56,,,,,,,
08/01/78,,,,,18.24,,,,,,,
09/01/78,,,,,17.31,,,,,,,
10/01/78,,,,,16.52,,,,,,,
11/01/78,,,,,16.84,,,,,,,
12/01/78,,,,,18.66,,,,,,,
01/01/79,,,,,19.30,,,,,,,
02/01/79,,,,,18.75,,,,,,,
03/01/79,,,,,19.72,,,,,,,
04/01/79,,,,,19.64,,,,,,,
05/01/79,,,,,19.00,,,,,,,
06/01/79,,,,,18.34,,,,,,,
07/01/79,,,,,17.44,,,,,,,
08/01/79,,,,,17.50,,,,,,,
09/01/79,,,,,16.94,,,,,,,
10/01/79,,,,,15.59,,,,,,,
11/01/79,,,,,16.31,,,,,,,
12/01/79,,,,,16.09,,,,,,,
01/01/80,,,,,17.16,,,,,,,
02/01/80,,,,,15.88,,,,,,,
03/01/80,0.32,,,,13.94,,,,,,,
04/01/80,0.32,,,,13.72,,,,,,,
05/01/80,0.35,,,,13.84,,,,,,,
06/01/80,0.34,,,,14.69,,,,,,,
07/01/80,0.44,,,,16.31,,,,,,,
08/01/80,0.46,,,,16.38,,,,,,,
09/01/80,0.46,,,,16.03,,,,,,,
10/01/80,0.44,,,,16.66,,,,,,,
11/01/80,0.48,,,,17.03,,,,,,,
12/01/80,0.42,,,,16.97,0.61,,,,,,
01/01/81,0.39,,,,16.09,0.50,,,,,129.55,
02/01/81,0.36,,,,16.06,0.47,,,,,131.27,
03/01/81,0.38,,,,15.59,0.44,,,,,136.00,
04/01/81,0.39,,,,14.66,0.51,,,,,132.81,
05/01/81,0.43,,,,14.69,0.59,,,,,132.59,
06/01/81,0.38,,,,14.47,0.46,,,,,131.21,
07/01/81,0.35,,,,14.03,0.45,,,,,130.92,
08/01/81,0.29,,,,13.78,0.36,,,,,122.79,
09/01/81,0.25,,,,13.53,0.27,,,,,116.18,
10/01/81,0.30,,,,12.88,0.36,,,,,121.89,
11/01/81,0.26,,,,13.63,0.33,,,,,126.35,
12/01/81,0.23,,,,14.22,0.40,,,,,122.55,
01/01/82,0.27,,,,15.91,0.36,,,,,120.40,
02/01/82,0.27,,,,15.47,0.33,,,,,113.11,
03/01/82,0.30,,,,14.94,0.30,,,,,111.96,
04/01/82,0.33,,,,16.06,0.26,,,,,116.44,
05/01/82,0.32,,,,15.38,0.25,,,,,111.88,
06/01/82,0.33,,,,15.16,0.23,,,,,109.61,
07/01/82,0.34,,,,16.41,0.24,,,,,107.09,
08/01/82,0.38,,,,17.63,0.32,,,,,119.51,
09/01/82,0.34,,,,18.34,0.33,,,,,120.42,
10/01/82,0.39,,,,19.97,0.45,,,,,133.72,
11/01/82,0.40,,,,21.63,0.57,,,,,138.53,
12/01/82,0.40,,,,24.06,0.53,,,,,140.64,
01/01/83,0.45,,,,24.72,0.73,,,,,145.30,
02/01/83,0.48,,,,24.75,0.81,,,,,148.06,
03/01/83,0.50,,,,25.44,0.75,,,,,152.96,
04/01/83,0.52,,,,29.25,0.90,,,,,164.43,
05/01/83,0.60,,,,27.81,1.03,,,,,162.39,
06/01/83,0.78,,,,30.06,0.87,,,,,167.64,
